MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,12,50.93,23563.03,1,4.24,1.95,616,2614.26,12
10002,Chinatown/Lower East Side,Manhattan,69,89.9,76755.41,0,0.0,1.45,4690,6110.32,68
10003,East Village/Gramercy/Greenwich Village,Manhattan,30,55.76,53801.62,2,3.72,0.49,6133,11399.29,30
10004,Financial District,Manhattan,1,27.39,3650.61,0,0.0,0.63,160,4382.83,1
10005,Financial District,Manhattan,12,142.92,8396.11,0,0.0,2.34,512,6098.06,12
10006,Financial District,Manhattan,5,144.6,3457.77,0,0.0,3.76,133,3846.41,5
10007,TriBeCa,Manhattan,3,36.36,8249.73,0,0.0,0.71,424,5139.56,3
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,26,44.26,58747.99,1,1.7,0.56,4461,7593.45,25
10010,Flatiron/Gramercy/Kips Bay,Manhattan,31,95.76,32371.86,0,0.0,1.08,2861,8837.92,31
10011,Chelsea,Manhattan,38,76.77,49500.52,1,2.02,1.07,3551,7173.66,38
10012,Greenwich Village/SoHo,Manhattan,24,100.08,23981.2,0,0.0,0.92,2611,10887.7,24
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,15,51.67,29031.09,0,0.0,0.64,2332,8032.77,15
10014,Hudson Square/Meatpacking District/West Village,Manhattan,14,45.1,31043.16,0,0.0,0.61,2279,7341.39,14
10016,Kips Bay/Murray Hill/NoMad,Manhattan,44,83.77,52524.35,1,1.9,1.47,3063,5831.58,45
10017,East Midtown/Murray Hill,Manhattan,4,24.8,16127.22,0,0.0,0.47,858,5320.2,4
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-35,-367.21,9531.44,0,0.0,3.14,-1116,-11708.62,-35
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,28,68.91,40631.45,0,0.0,0.96,2923,7193.93,28
10021,Lenox Hill/Upper East Side,Manhattan,29,65.65,44175.61,1,2.26,1.02,2741,6204.78,28
10022,East Midtown,Manhattan,14,46.15,30334.8,0,0.0,0.9,1560,5142.61,14
10023,Lincoln Square,Manhattan,27,44.79,60274.81,-1,-1.66,0.78,3569,5921.21,28
10024,Upper West Side,Manhattan,44,76.74,57337.68,0,0.0,1.08,4171,7274.45,45
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,70,75.81,92333.47,2,2.17,0.92,7511,8134.64,69
10026,Central Harlem (South),Manhattan,40,102.52,39018.03,1,2.56,1.67,2398,6145.88,40
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,41,64.43,63631.04,1,1.57,0.85,4716,7411.48,40
10028,Upper East Side/Yorkville,Manhattan,27,54.93,49155.08,1,2.03,1.01,2680,5452.13,27
10029,East Harlem,Manhattan,92,116.69,78841.52,1,1.27,2.01,4569,5795.17,92
10030,Central Harlem (North),Manhattan,17,57.98,29321.91,1,3.41,1.15,1481,5050.83,17
10031,Hamilton Heights/West Harlem,Manhattan,74,122.2,60556.93,0,0.0,2.51,2943,4859.89,74
10032,Washington Heights (South),Manhattan,78,126.84,61492.57,1,1.63,2.62,3020,4911.16,79
10033,Washington Heights (North)/Washington Heights (South),Manhattan,70,118.22,59210.43,0,0.0,2.21,3170,5353.79,70
10034,Inwood/Washington Heights (North),Manhattan,52,120.72,43073.65,1,2.32,2.64,1969,4571.24,52
10035,East Harlem,Manhattan,29,84.24,34426.65,0,0.0,1.48,1955,5678.74,29
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,22,83.93,26211.25,0,0.0,1.09,2011,7672.28,22
10037,Central Harlem (North)/East Harlem,Manhattan,25,121.07,20649.62,1,4.84,3.29,760,3680.46,25
10038,Chinatown/Financial District,Manhattan,30,136.07,22047.96,0,0.0,2.13,1410,6395.15,30
10039,Central Harlem (North)/Washington Heights (South),Manhattan,34,128.51,26457.52,2,7.56,2.57,1322,4996.69,34
10040,Washington Heights (North),Manhattan,60,133.9,44808.28,1,2.23,2.3,2607,5818.12,60
10044,Roosevelt Island,Manhattan,4,34.19,11700.29,0,0.0,0.55,724,6187.88,4
10065,Lenox Hill/Upper East Side,Manhattan,15,51.61,29061.49,0,0.0,0.77,1960,6744.32,15
10069,Lincoln Square,Manhattan,6,94.67,6338.13,0,0.0,0.91,660,10413.17,6
10075,Lenox Hill/Upper East Side,Manhattan,10,42.31,23634.14,0,0.0,0.62,1615,6833.34,10
10128,Upper East Side/Yorkville,Manhattan,24,39.12,61351.93,0,0.0,0.59,4099,6681.13,24
10280,Battery Park City,Manhattan,2,20.79,9618.7,0,0.0,0.36,548,5697.24,2
