MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,28,118.83,23563.03,1,4.24,1.41,1981,8407.24,28
10002,Chinatown/Lower East Side,Manhattan,118,153.74,76755.41,3,3.91,2.72,4343,5658.23,118
10003,East Village/Gramercy/Greenwich Village,Manhattan,28,52.04,53801.62,0,0.0,0.85,3305,6142.94,28
10004,Financial District,Manhattan,6,164.36,3650.61,0,0.0,2.47,243,6656.42,6
10005,Financial District,Manhattan,16,190.56,8396.11,0,0.0,2.8,572,6812.68,16
10006,Financial District,Manhattan,8,231.36,3457.77,0,0.0,3.28,244,7056.57,8
10007,TriBeCa,Manhattan,6,72.73,8249.73,0,0.0,1.03,583,7066.9,6
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,62,105.54,58747.99,0,0.0,1.67,3712,6318.51,62
10010,Flatiron/Gramercy/Kips Bay,Manhattan,27,83.41,32371.86,0,0.0,1.29,2086,6443.87,27
10011,Chelsea,Manhattan,54,109.09,49500.52,2,4.04,1.56,3460,6989.83,54
10012,Greenwich Village/SoHo,Manhattan,19,79.23,23981.2,0,0.0,1.29,1471,6133.97,19
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,24,82.67,29031.09,0,0.0,1.12,2149,7402.41,24
10014,Hudson Square/Meatpacking District/West Village,Manhattan,33,106.3,31043.16,1,3.22,1.44,2299,7405.82,33
10016,Kips Bay/Murray Hill/NoMad,Manhattan,52,99.0,52524.35,0,0.0,1.38,3705,7053.87,51
10017,East Midtown/Murray Hill,Manhattan,12,74.41,16127.22,0,0.0,1.14,1057,6554.14,12
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,19,199.34,9531.44,0,0.0,1.78,1066,11184.04,19
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,35,86.14,40631.45,0,0.0,1.11,3145,7740.31,35
10021,Lenox Hill/Upper East Side,Manhattan,31,70.17,44175.61,-1,-2.26,0.95,3251,7359.26,31
10022,East Midtown,Manhattan,19,62.63,30334.8,2,6.59,0.92,2073,6833.74,19
10023,Lincoln Square,Manhattan,38,63.04,60274.81,1,1.66,1.05,3724,6178.37,39
10024,Upper West Side,Manhattan,44,76.74,57337.68,4,6.98,1.21,3717,6482.65,45
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,58,62.82,92333.47,5,5.42,0.99,5879,6367.14,58
10026,Central Harlem (South),Manhattan,41,105.08,39018.03,0,0.0,2.04,2008,5146.34,41
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,51,80.15,63631.04,2,3.14,1.49,3434,5396.74,51
10028,Upper East Side/Yorkville,Manhattan,29,59.0,49155.08,2,4.07,1.01,2878,5854.94,29
10029,East Harlem,Manhattan,66,83.71,78841.52,3,3.81,1.39,4732,6001.91,66
10030,Central Harlem (North),Manhattan,34,115.95,29321.91,2,6.82,2.53,1344,4583.6,34
10031,Hamilton Heights/West Harlem,Manhattan,54,89.17,60556.93,4,6.61,1.84,2983,4925.94,55
10032,Washington Heights (South),Manhattan,77,125.22,61492.57,5,8.13,2.38,3242,5272.18,77
10033,Washington Heights (North)/Washington Heights (South),Manhattan,52,87.82,59210.43,2,3.38,1.86,2796,4722.14,52
10034,Inwood/Washington Heights (North),Manhattan,61,141.62,43073.65,2,4.64,2.76,2213,5137.71,61
10035,East Harlem,Manhattan,59,171.38,34426.65,7,20.33,2.74,2153,6253.88,59
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,46,175.5,26211.25,2,7.63,2.33,1973,7527.3,46
10037,Central Harlem (North)/East Harlem,Manhattan,15,72.64,20649.62,0,0.0,1.32,1133,5486.78,15
10038,Chinatown/Financial District,Manhattan,17,77.1,22047.96,2,9.07,1.28,1329,6027.77,17
10039,Central Harlem (North)/Washington Heights (South),Manhattan,43,162.52,26457.52,2,7.56,3.18,1354,5117.64,43
10040,Washington Heights (North),Manhattan,59,131.67,44808.28,0,0.0,2.43,2424,5409.71,59
10044,Roosevelt Island,Manhattan,13,111.11,11700.29,1,8.55,2.65,491,4196.48,13
10065,Lenox Hill/Upper East Side,Manhattan,9,30.97,29061.49,0,0.0,0.45,2007,6906.05,9
10069,Lincoln Square,Manhattan,4,63.11,6338.13,0,0.0,1.09,367,5790.35,4
10075,Lenox Hill/Upper East Side,Manhattan,-2,-8.46,23634.14,0,0.0,-0.11,1752,7413.01,-2
