MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,30,127.32,23563.03,2,8.49,1.51,1988,8436.95,30
10002,Chinatown/Lower East Side,Manhattan,127,165.46,76755.41,2,2.61,3.16,4048,5273.9,128
10003,East Village/Gramercy/Greenwich Village,Manhattan,41,76.21,53801.62,0,0.0,1.29,3167,5886.44,41
10004,Financial District,Manhattan,7,191.75,3650.61,0,0.0,3.06,229,6272.92,7
10005,Financial District,Manhattan,12,142.92,8396.11,0,0.0,2.13,564,6717.4,12
10006,Financial District,Manhattan,7,202.44,3457.77,0,0.0,2.8,250,7230.09,7
10007,TriBeCa,Manhattan,8,96.97,8249.73,0,0.0,1.44,556,6739.61,8
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,61,103.83,58747.99,1,1.7,1.77,3446,5865.73,61
10010,Flatiron/Gramercy/Kips Bay,Manhattan,32,98.85,32371.86,0,0.0,1.58,2031,6273.97,32
10011,Chelsea,Manhattan,60,121.21,49500.52,2,4.04,1.75,3432,6933.26,60
10012,Greenwich Village/SoHo,Manhattan,16,66.72,23981.2,0,0.0,1.15,1391,5800.38,16
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,26,89.56,29031.09,0,0.0,1.18,2196,7564.3,26
10014,Hudson Square/Meatpacking District/West Village,Manhattan,39,125.63,31043.16,3,9.66,1.68,2323,7483.13,39
10016,Kips Bay/Murray Hill/NoMad,Manhattan,60,114.23,52524.35,0,0.0,1.69,3540,6739.73,60
10017,East Midtown/Murray Hill,Manhattan,10,62.01,16127.22,1,6.2,1.02,981,6082.88,10
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,21,220.32,9531.44,1,10.49,1.96,1074,11267.97,21
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,39,95.98,40631.45,0,0.0,1.23,3162,7782.15,39
