MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,15,63.66,23563.03,0,0.0,0.74,2018,8564.26,15
10002,Chinatown/Lower East Side,Manhattan,44,57.32,76755.41,0,0.0,0.95,4611,6007.39,44
10003,East Village/Gramercy/Greenwich Village,Manhattan,47,87.36,53801.62,0,0.0,0.92,5098,9475.55,47
10004,Financial District,Manhattan,4,109.57,3650.61,0,0.0,1.65,243,6656.42,4
10005,Financial District,Manhattan,14,166.74,8396.11,0,0.0,2.28,615,7324.82,14
10006,Financial District,Manhattan,7,202.44,3457.77,0,0.0,3.1,226,6536.0,7
10007,TriBeCa,Manhattan,3,36.36,8249.73,0,0.0,0.43,691,8376.03,3
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,45,76.6,58747.99,1,1.7,1.02,4411,7508.34,45
10010,Flatiron/Gramercy/Kips Bay,Manhattan,29,89.58,32371.86,0,0.0,1.21,2405,7429.29,29
10011,Chelsea,Manhattan,31,62.63,49500.52,-1,-2.02,0.82,3799,7674.67,31
10012,Greenwich Village/SoHo,Manhattan,20,83.4,23981.2,0,0.0,0.9,2229,9294.78,20
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,14,48.22,29031.09,0,0.0,0.49,2860,9851.51,14
10014,Hudson Square/Meatpacking District/West Village,Manhattan,23,74.09,31043.16,0,0.0,0.96,2406,7750.5,23
10016,Kips Bay/Murray Hill/NoMad,Manhattan,43,81.87,52524.35,-1,-1.9,1.13,3820,7272.82,43
10017,East Midtown/Murray Hill,Manhattan,4,24.8,16127.22,0,0.0,0.41,979,6070.48,4
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-6,-62.95,9531.44,1,10.49,-0.86,697,7312.64,-6
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,36,88.6,40631.45,0,0.0,1.14,3241,7976.58,37
10021,Lenox Hill/Upper East Side,Manhattan,42,95.08,44175.61,0,0.0,1.31,3140,7107.99,41
10022,East Midtown,Manhattan,22,72.52,30334.8,0,0.0,1.0,2209,7282.07,22
10023,Lincoln Square,Manhattan,29,48.11,60274.81,-1,-1.66,0.69,4200,6968.09,29
10024,Upper West Side,Manhattan,39,68.02,57337.68,0,0.0,0.85,4574,7977.3,39
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,68,73.65,92333.47,1,1.08,0.76,8988,9734.28,68
10026,Central Harlem (South),Manhattan,35,89.7,39018.03,1,2.56,1.47,2448,6274.02,36
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,53,83.29,63631.04,0,0.0,0.95,5498,8640.44,52
10028,Upper East Side/Yorkville,Manhattan,23,46.79,49155.08,0,0.0,0.78,2953,6007.52,23
10029,East Harlem,Manhattan,67,84.98,78841.52,-1,-1.27,1.64,4138,5248.5,68
10030,Central Harlem (North),Manhattan,20,68.21,29321.91,0,0.0,1.34,1495,5098.58,20
10031,Hamilton Heights/West Harlem,Manhattan,66,108.99,60556.93,0,0.0,2.24,2948,4868.15,66
10032,Washington Heights (South),Manhattan,59,95.95,61492.57,1,1.63,1.65,3585,5829.97,59
10033,Washington Heights (North)/Washington Heights (South),Manhattan,58,97.96,59210.43,1,1.69,1.87,3150,5320.01,59
10034,Inwood/Washington Heights (North),Manhattan,32,74.29,43073.65,1,2.32,1.51,2058,4777.86,31
10035,East Harlem,Manhattan,18,52.29,34426.65,2,5.81,0.82,2193,6370.07,18
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,23,87.75,26211.25,0,0.0,1.08,2127,8114.84,23
10037,Central Harlem (North)/East Harlem,Manhattan,21,101.7,20649.62,2,9.69,2.08,1009,4886.29,21
10038,Chinatown/Financial District,Manhattan,26,117.92,22047.96,0,0.0,1.56,1666,7556.25,26
10039,Central Harlem (North)/Washington Heights (South),Manhattan,12,45.36,26457.52,0,0.0,0.95,1258,4754.79,12
10040,Washington Heights (North),Manhattan,57,127.21,44808.28,1,2.23,2.33,2447,5461.04,57
10044,Roosevelt Island,Manhattan,6,51.28,11700.29,0,0.0,0.92,655,5598.15,6
10065,Lenox Hill/Upper East Side,Manhattan,26,89.47,29061.49,0,0.0,1.17,2213,7614.89,26
10069,Lincoln Square,Manhattan,5,78.89,6338.13,0,0.0,0.81,618,9750.51,5
10075,Lenox Hill/Upper East Side,Manhattan,16,67.7,23634.14,0,0.0,0.87,1829,7738.8,16
10128,Upper East Side/Yorkville,Manhattan,32,52.16,61351.93,0,0.0,0.8,4136,6741.43,33
10280,Battery Park City,Manhattan,1,10.4,9618.7,0,0.0,0.18,542,5634.86,1
10282,Battery Park City,Manhattan,1,18.13,5515.44,-1,-18.13,0.29,342,6200.77,1
10301,Silver Lake/St. George,Staten Island,47,118.65,39613.55,0,0.0,2.27,2025,5111.89,46
10302,Elm Park,Staten Island,17,90.55,18773.99,0,0.0,1.87,911,4852.46,17
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,17,64.81,26231.66,0,0.0,1.55,1094,4170.53,17
10304,New Dorp/Todt Hill,Staten Island,55,129.57,42448.71,-1,-2.36,2.68,2055,4841.14,55
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,42,98.68,42560.99,1,2.35,2.31,1816,4266.82,42
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,66,122.94,53685.66,1,1.86,2.37,2745,5113.1,65
10307,Tottenville,Staten Island,12,78.87,15214.56,0,0.0,1.94,620,4075.04,12
10308,Great Kills,Staten Island,37,124.85,29635.33,0,0.0,2.94,1260,4251.68,37
10309,Charleston/Prince's Bay/Woodrow,Staten Island,46,139.37,33004.98,1,3.03,3.07,1499,4541.74,46
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,42,175.95,23870.96,1,4.19,3.42,1227,5140.14,42
10312,Annadale/Rossville,Staten Island,73,121.05,60304.33,0,0.0,2.6,2803,4648.09,73
10314,Bloomfield/Freshkills Park,Staten Island,112,123.3,90834.29,1,1.1,2.52,4409,4853.89,111
10451,Concourse/Melrose,Bronx,52,108.97,47718.77,1,2.1,2.18,2384,4995.94,52
10452,Concourse/Highbridge,Bronx,124,160.97,77035.04,3,3.89,3.45,3656,4745.89,126
10453,Morris Heights/Mount Hope/University Heights,Bronx,101,124.41,81184.04,2,2.46,2.67,3743,4610.51,100
10454,Mott Haven/Port Morris,Bronx,29,75.87,38223.41,1,2.62,1.66,1748,4573.11,29
10455,Mott Haven,Bronx,34,80.62,42174.38,1,2.37,1.91,1836,4353.35,35
10456,Claremont/Morrisania,Bronx,87,93.11,93441.91,9,9.63,2.01,4372,4678.84,88
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,71,95.07,74685.06,2,2.68,2.07,3385,4532.37,70
10458,Belmont/Fordham University/Kingsbridge,Bronx,75,89.49,83807.74,1,1.19,1.92,4019,4795.5,77
10459,Charlotte Gardens/Hunts Point,Bronx,72,148.9,48354.56,0,0.0,2.75,2658,5496.9,73
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,51,84.9,60073.25,3,4.99,1.87,2675,4452.9,50
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,60,121.26,49479.56,-1,-2.02,2.33,2572,5198.11,60
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,82,106.04,77332.41,2,2.59,2.19,3736,4831.09,82
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,81,113.62,71287.33,0,0.0,1.94,4166,5843.96,81
10464,City Island,Bronx,2,45.94,4353.16,0,0.0,1.02,197,4525.45,2
10465,Country Club/Throgs Neck,Bronx,42,97.61,43030.43,3,6.97,1.86,2256,5242.8,42
10466,Edenwald/Wakefield,Bronx,51,70.67,72166.65,2,2.77,1.63,3120,4323.33,51
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,102,101.21,100784.05,10,9.92,1.98,5194,5153.59,103
10468,Fordham/Kingsbridge/University Heights,Bronx,86,112.15,76681.12,3,3.91,2.39,3594,4686.94,86
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,44,61.53,71508.25,4,5.59,1.24,3480,4866.57,43
10470,Wakefield/Woodlawn,Bronx,18,127.63,14103.75,1,7.09,2.48,726,5147.57,18
10471,Fieldston/North Riverdale/Riverdale,Bronx,23,108.25,21247.28,2,9.41,1.61,1427,6716.15,23
10472,Soundview,Bronx,59,86.87,67913.94,2,2.94,1.75,3426,5044.62,60
10473,Castle Hill/Clason Point/Soundview,Bronx,51,82.36,61925.28,0,0.0,1.75,2907,4694.37,51
10474,Hunts Point,Bronx,-6,-48.24,12438.07,0,0.0,-1.17,511,4108.35,-6
10475,Co-op City/Edenwald,Bronx,38,86.87,43743.21,1,2.29,1.72,2271,5191.66,39
11004,Bellerose/Douglaston-Little Neck,Queens,20,106.62,18758.55,1,5.33,1.95,1026,5469.51,20
11101,Astoria (South)/Long Island City/Sunnyside,Queens,36,102.26,35204.11,-1,-2.84,1.25,2879,8178.02,36
11102,Astoria (North),Queens,33,101.12,32632.92,1,3.06,1.77,1864,5712.02,33
11103,Astoria (North)/Astoria (South),Queens,44,120.27,36585.65,0,0.0,2.13,2064,5641.56,44
11104,Sunnyside,Queens,17,68.62,24775.7,0,0.0,1.24,1375,5549.79,17
11105,Ditmars Steinway,Queens,36,100.29,35894.88,0,0.0,2.08,1728,4814.06,36
11106,Astoria (South),Queens,28,72.42,38664.4,0,0.0,1.4,1996,5162.37,28
11109,Long Island City,Queens,1,19.72,5070.64,0,0.0,0.25,397,7829.39,1
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,31,50.9,60908.15,0,0.0,0.68,4693,7705.04,32
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,58,79.03,73392.42,1,1.36,1.87,3098,4221.14,58
11204,Bensonhurst/Mapleton,Brooklyn,121,152.54,79322.45,1,1.26,4.37,2748,3464.34,120
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,37,84.07,44013.21,1,2.27,1.53,2423,5505.17,37
11206,Williamsburg (South),Brooklyn,73,85.38,85496.61,1,1.17,1.77,4116,4814.23,73
11207,Cypress Hills/East New York,Brooklyn,66,74.03,89156.75,1,1.12,1.64,4024,4513.4,66
11208,Cypress Hills/East New York,Brooklyn,96,100.41,95607.69,-1,-1.05,2.55,3720,3890.9,95
11209,Bay Ridge/Fort Hamilton,Brooklyn,48,71.56,67081.12,-1,-1.49,1.27,3783,5639.44,48
