MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,29,123.07,23563.03,3,12.73,1.48,1960,8318.12,29
10002,Chinatown/Lower East Side,Manhattan,82,106.83,76755.41,8,10.42,2.21,3704,4825.72,82
10003,East Village/Gramercy/Greenwich Village,Manhattan,37,68.77,53801.62,1,1.86,1.17,3156,5865.99,37
10004,Financial District,Manhattan,2,54.79,3650.61,0,0.0,1.06,189,5177.22,2
10005,Financial District,Manhattan,7,83.37,8396.11,0,0.0,1.48,472,5621.65,7
10006,Financial District,Manhattan,6,173.52,3457.77,0,0.0,2.75,218,6304.64,6
10007,TriBeCa,Manhattan,5,60.61,8249.73,0,0.0,1.01,495,6000.2,5
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,51,86.81,58747.99,4,6.81,1.52,3364,5726.15,51
10010,Flatiron/Gramercy/Kips Bay,Manhattan,17,52.51,32371.86,-1,-3.09,0.88,1929,5958.88,17
10011,Chelsea,Manhattan,22,44.44,49500.52,4,8.08,0.67,3307,6680.74,22
10012,Greenwich Village/SoHo,Manhattan,16,66.72,23981.2,0,0.0,1.19,1349,5625.24,16
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,25,86.11,29031.09,1,3.44,1.15,2182,7516.08,25
10014,Hudson Square/Meatpacking District/West Village,Manhattan,33,106.3,31043.16,4,12.89,1.38,2390,7698.96,33
10016,Kips Bay/Murray Hill/NoMad,Manhattan,59,112.33,52524.35,1,1.9,1.78,3307,6296.13,59
10017,East Midtown/Murray Hill,Manhattan,8,49.61,16127.22,2,12.4,0.87,924,5729.44,8
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,25,262.29,9531.44,2,20.98,2.11,1185,12432.54,25
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,38,93.52,40631.45,-1,-2.46,1.27,2986,7348.99,38
10021,Lenox Hill/Upper East Side,Manhattan,23,52.06,44175.61,3,6.79,0.87,2643,5982.94,23
10022,East Midtown,Manhattan,25,82.41,30334.8,4,13.19,1.26,1979,6523.86,25
10023,Lincoln Square,Manhattan,28,46.45,60274.81,1,1.66,0.77,3622,6009.14,28
10024,Upper West Side,Manhattan,67,116.85,57337.68,3,5.23,1.67,4009,6991.91,67
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,90,97.47,92333.47,7,7.58,1.25,7177,7772.91,90
10026,Central Harlem (South),Manhattan,44,112.77,39018.03,9,23.07,2.32,1894,4854.17,44
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,67,105.29,63631.04,9,14.14,1.87,3586,5635.61,67
10028,Upper East Side/Yorkville,Manhattan,24,48.83,49155.08,1,2.03,0.88,2719,5531.47,24
10029,East Harlem,Manhattan,70,88.79,78841.52,11,13.95,1.8,3896,4941.56,70
10030,Central Harlem (North),Manhattan,24,81.85,29321.91,4,13.64,1.85,1297,4423.31,24
10031,Hamilton Heights/West Harlem,Manhattan,88,145.32,60556.93,8,13.21,2.55,3456,5707.03,88
10032,Washington Heights (South),Manhattan,101,164.25,61492.57,7,11.38,3.04,3317,5394.15,101
10033,Washington Heights (North)/Washington Heights (South),Manhattan,69,116.53,59210.43,5,8.44,2.51,2754,4651.21,69
10034,Inwood/Washington Heights (North),Manhattan,54,125.37,43073.65,0,0.0,2.49,2173,5044.85,54
10035,East Harlem,Manhattan,92,267.23,34426.65,15,43.57,5.0,1840,5344.7,92
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,40,152.61,26211.25,2,7.63,2.19,1826,6966.47,40
10037,Central Harlem (North)/East Harlem,Manhattan,7,33.9,20649.62,-3,-14.53,0.74,946,4581.2,7
10038,Chinatown/Financial District,Manhattan,8,36.28,22047.96,-2,-9.07,0.78,1031,4676.17,8
10039,Central Harlem (North)/Washington Heights (South),Manhattan,25,94.49,26457.52,3,11.34,2.47,1011,3821.22,25
10040,Washington Heights (North),Manhattan,66,147.29,44808.28,9,20.09,2.79,2367,5282.51,66
10044,Roosevelt Island,Manhattan,8,68.37,11700.29,2,17.09,1.07,747,6384.46,8
10065,Lenox Hill/Upper East Side,Manhattan,10,34.41,29061.49,1,3.44,0.52,1924,6620.45,10
10069,Lincoln Square,Manhattan,7,110.44,6338.13,0,0.0,1.87,374,5900.79,7
10075,Lenox Hill/Upper East Side,Manhattan,18,76.16,23634.14,-1,-4.23,1.18,1531,6477.92,18
