MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,18,76.39,23563.03,1,4.24,0.98,1829,7762.16,18
10002,Chinatown/Lower East Side,Manhattan,50,65.14,76755.41,0,0.0,1.16,4303,5606.12,50
10003,East Village/Gramercy/Greenwich Village,Manhattan,52,96.65,53801.62,0,0.0,1.24,4365,8113.14,54
10004,Financial District,Manhattan,7,191.75,3650.61,0,0.0,2.67,262,7176.88,7
10005,Financial District,Manhattan,15,178.65,8396.11,0,0.0,2.65,565,6729.31,15
10006,Financial District,Manhattan,6,173.52,3457.77,0,0.0,2.79,215,6217.88,6
10007,TriBeCa,Manhattan,6,72.73,8249.73,0,0.0,0.96,628,7612.37,6
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,51,86.81,58747.99,1,1.7,1.38,3846,6546.61,53
10010,Flatiron/Gramercy/Kips Bay,Manhattan,28,86.49,32371.86,0,0.0,1.18,2375,7336.62,28
10011,Chelsea,Manhattan,30,60.61,49500.52,-1,-2.02,0.87,3432,6933.26,30
10012,Greenwich Village/SoHo,Manhattan,23,95.91,23981.2,0,0.0,1.3,1773,7393.29,23
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,16,55.11,29031.09,1,3.44,0.64,2513,8656.24,16
10014,Hudson Square/Meatpacking District/West Village,Manhattan,23,74.09,31043.16,0,0.0,1.04,2208,7112.68,23
10016,Kips Bay/Murray Hill/NoMad,Manhattan,47,89.48,52524.35,-1,-1.9,1.35,3484,6633.11,47
10017,East Midtown/Murray Hill,Manhattan,9,55.81,16127.22,0,0.0,0.88,1024,6349.51,9
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-6,-62.95,9531.44,1,10.49,-0.92,652,6840.52,-6
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,37,91.06,40631.45,0,0.0,1.24,3054,7516.35,38
10021,Lenox Hill/Upper East Side,Manhattan,47,106.39,44175.61,0,0.0,1.67,2812,6365.5,47
10022,East Midtown,Manhattan,20,65.93,30334.8,0,0.0,0.97,2069,6820.55,20
10023,Lincoln Square,Manhattan,40,66.36,60274.81,0,0.0,1.08,3706,6148.51,40
10024,Upper West Side,Manhattan,62,108.13,57337.68,0,0.0,1.53,4058,7077.37,62
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,72,77.98,92333.47,1,1.08,0.94,7797,8444.39,73
10026,Central Harlem (South),Manhattan,36,92.27,39018.03,1,2.56,1.63,2153,5517.96,35
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,55,86.44,63631.04,0,0.0,1.21,4541,7136.45,55
10028,Upper East Side/Yorkville,Manhattan,27,54.93,49155.08,0,0.0,1.01,2682,5456.2,27
10029,East Harlem,Manhattan,57,72.3,78841.52,-1,-1.27,1.59,3642,4619.39,58
10030,Central Harlem (North),Manhattan,20,68.21,29321.91,1,3.41,1.4,1430,4876.9,20
10031,Hamilton Heights/West Harlem,Manhattan,53,87.52,60556.93,1,1.65,2.02,2618,4323.2,53
10032,Washington Heights (South),Manhattan,48,78.06,61492.57,1,1.63,1.72,2901,4717.64,50
10033,Washington Heights (North)/Washington Heights (South),Manhattan,59,99.64,59210.43,1,1.69,2.1,2808,4742.41,59
10034,Inwood/Washington Heights (North),Manhattan,36,83.58,43073.65,0,0.0,1.99,1813,4209.07,36
10035,East Harlem,Manhattan,17,49.38,34426.65,2,5.81,0.84,2025,5882.07,17
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,30,114.45,26211.25,0,0.0,1.52,1976,7538.75,30
10037,Central Harlem (North)/East Harlem,Manhattan,17,82.33,20649.62,1,4.84,1.77,962,4658.68,17
10038,Chinatown/Financial District,Manhattan,29,131.53,22047.96,0,0.0,1.65,1761,7987.13,29
10039,Central Harlem (North)/Washington Heights (South),Manhattan,12,45.36,26457.52,0,0.0,1.08,1106,4180.29,12
10040,Washington Heights (North),Manhattan,49,109.35,44808.28,1,2.23,2.2,2179,4862.94,48
10044,Roosevelt Island,Manhattan,5,42.73,11700.29,0,0.0,0.92,545,4658.0,5
10065,Lenox Hill/Upper East Side,Manhattan,32,110.11,29061.49,0,0.0,1.53,2085,7174.44,32
10069,Lincoln Square,Manhattan,3,47.33,6338.13,0,0.0,0.58,520,8204.31,3
10075,Lenox Hill/Upper East Side,Manhattan,24,101.55,23634.14,0,0.0,1.52,1580,6685.24,24
10128,Upper East Side/Yorkville,Manhattan,32,52.16,61351.93,0,0.0,0.85,3762,6131.84,32
10280,Battery Park City,Manhattan,2,20.79,9618.7,0,0.0,0.38,527,5478.91,2
10282,Battery Park City,Manhattan,2,36.26,5515.44,-1,-18.13,0.65,309,5602.45,2
10301,Silver Lake/St. George,Staten Island,55,138.84,39613.55,0,0.0,2.97,1849,4667.59,55
10302,Elm Park,Staten Island,19,101.2,18773.99,0,0.0,2.17,875,4660.7,19
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,14,53.37,26231.66,0,0.0,1.36,1029,3922.74,14
10304,New Dorp/Todt Hill,Staten Island,58,136.64,42448.71,-1,-2.36,3.06,1896,4466.57,58
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,55,129.23,42560.99,1,2.35,3.06,1797,4222.18,55
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,88,163.92,53685.66,0,0.0,3.33,2643,4923.1,88
10307,Tottenville,Staten Island,17,111.74,15214.56,0,0.0,2.83,601,3950.16,17
10308,Great Kills,Staten Island,42,141.72,29635.33,0,0.0,3.66,1147,3870.38,42
10309,Charleston/Prince's Bay/Woodrow,Staten Island,53,160.58,33004.98,0,0.0,3.72,1426,4320.56,53
