MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,34,144.29,23563.03,2,8.49,1.68,2024,8589.73,34
10002,Chinatown/Lower East Side,Manhattan,134,174.58,76755.41,8,10.42,3.11,4344,5659.54,135
10003,East Village/Gramercy/Greenwich Village,Manhattan,44,81.78,53801.62,0,0.0,1.33,3306,6144.8,44
10004,Financial District,Manhattan,4,109.57,3650.61,0,0.0,1.78,225,6163.35,4
10005,Financial District,Manhattan,12,142.92,8396.11,0,0.0,2.07,579,6896.05,12
10006,Financial District,Manhattan,9,260.28,3457.77,0,0.0,3.49,258,7461.46,9
10007,TriBeCa,Manhattan,6,72.73,8249.73,0,0.0,1.04,578,7006.29,6
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,62,105.54,58747.99,2,3.4,1.79,3463,5894.67,62
10010,Flatiron/Gramercy/Kips Bay,Manhattan,32,98.85,32371.86,-1,-3.09,1.51,2120,6548.9,32
10011,Chelsea,Manhattan,45,90.91,49500.52,6,12.12,1.29,3478,7026.19,45
10012,Greenwich Village/SoHo,Manhattan,22,91.74,23981.2,0,0.0,1.52,1444,6021.38,22
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,28,96.45,29031.09,0,0.0,1.24,2250,7750.31,28
10014,Hudson Square/Meatpacking District/West Village,Manhattan,41,132.07,31043.16,5,16.11,1.67,2449,7889.02,41
10016,Kips Bay/Murray Hill/NoMad,Manhattan,54,102.81,52524.35,-1,-1.9,1.48,3637,6924.41,54
10017,East Midtown/Murray Hill,Manhattan,12,74.41,16127.22,2,12.4,1.14,1052,6523.13,12
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,34,356.71,9531.44,2,20.98,3.15,1078,11309.94,34
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,35,86.14,40631.45,-3,-7.38,1.1,3179,7823.99,35
10021,Lenox Hill/Upper East Side,Manhattan,31,70.17,44175.61,1,2.26,0.97,3200,7243.82,31
10022,East Midtown,Manhattan,24,79.12,30334.8,2,6.59,1.1,2180,7186.47,24
10023,Lincoln Square,Manhattan,35,58.07,60274.81,2,3.32,0.9,3884,6443.82,35
10024,Upper West Side,Manhattan,54,94.18,57337.68,5,8.72,1.37,3939,6869.83,54
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,73,79.06,92333.47,5,5.42,1.06,6957,7534.65,74
10026,Central Harlem (South),Manhattan,53,135.83,39018.03,6,15.38,2.58,2051,5256.54,53
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,66,103.72,63631.04,8,12.57,1.72,3847,6045.79,66
10028,Upper East Side/Yorkville,Manhattan,28,56.96,49155.08,2,4.07,0.95,2956,6013.62,28
10029,East Harlem,Manhattan,80,101.47,78841.52,10,12.68,1.87,4275,5422.27,80
10030,Central Harlem (North),Manhattan,34,115.95,29321.91,4,13.64,2.53,1344,4583.6,34
10031,Hamilton Heights/West Harlem,Manhattan,81,133.76,60556.93,8,13.21,2.52,3215,5309.05,81
10032,Washington Heights (South),Manhattan,96,156.12,61492.57,9,14.64,2.94,3270,5317.72,96
10033,Washington Heights (North)/Washington Heights (South),Manhattan,73,123.29,59210.43,5,8.44,2.51,2909,4912.99,73
10034,Inwood/Washington Heights (North),Manhattan,52,120.72,43073.65,0,0.0,2.25,2309,5360.59,52
10035,East Harlem,Manhattan,76,220.76,34426.65,10,29.05,3.77,2014,5850.12,76
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,37,141.16,26211.25,3,11.45,1.98,1865,7115.27,37
10037,Central Harlem (North)/East Harlem,Manhattan,2,9.69,20649.62,-5,-24.21,0.2,1014,4910.5,2
10038,Chinatown/Financial District,Manhattan,11,49.89,22047.96,-1,-4.54,0.91,1213,5501.64,11
10039,Central Harlem (North)/Washington Heights (South),Manhattan,40,151.19,26457.52,5,18.9,3.51,1141,4312.57,40
10040,Washington Heights (North),Manhattan,61,136.14,44808.28,4,8.93,2.47,2469,5510.14,61
10044,Roosevelt Island,Manhattan,8,68.37,11700.29,2,17.09,1.17,682,5828.92,8
10065,Lenox Hill/Upper East Side,Manhattan,2,6.88,29061.49,1,3.44,0.1,2103,7236.38,2
10069,Lincoln Square,Manhattan,5,78.89,6338.13,0,0.0,1.3,385,6074.35,5
10075,Lenox Hill/Upper East Side,Manhattan,-17,-71.93,23634.14,-3,-12.69,-0.97,1755,7425.7,-17
10128,Upper East Side/Yorkville,Manhattan,42,68.46,61351.93,3,4.89,1.06,3970,6470.86,42
10280,Battery Park City,Manhattan,6,62.38,9618.7,0,0.0,1.48,405,4210.55,6
10282,Battery Park City,Manhattan,8,145.05,5515.44,-1,-18.13,2.97,269,4877.22,8
10301,Silver Lake/St. George,Staten Island,48,121.17,39613.55,6,15.15,2.48,1932,4877.12,48
10302,Elm Park,Staten Island,15,79.9,18773.99,1,5.33,2.15,699,3723.24,15
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,22,83.87,26231.66,1,3.81,2.12,1038,3957.05,22
10304,New Dorp/Todt Hill,Staten Island,39,91.88,42448.71,10,23.56,1.91,2043,4812.87,39
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,53,124.53,42560.99,4,9.4,3.02,1755,4123.49,53
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,51,95.0,53685.66,4,7.45,2.15,2370,4414.59,51
10307,Tottenville,Staten Island,27,177.46,15214.56,1,6.57,4.12,655,4305.09,27
10308,Great Kills,Staten Island,37,124.85,29635.33,2,6.75,3.24,1142,3853.51,37
10309,Charleston/Prince's Bay/Woodrow,Staten Island,41,124.22,33004.98,1,3.03,2.93,1399,4238.75,41
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,9,37.7,23870.96,0,0.0,0.88,1025,4293.92,9
10312,Annadale/Rossville,Staten Island,94,155.88,60304.33,0,0.0,3.75,2507,4157.25,94
10314,Bloomfield/Freshkills Park,Staten Island,85,93.58,90834.29,8,8.81,2.21,3884,4275.92,86
10451,Concourse/Melrose,Bronx,32,67.06,47718.77,-4,-8.38,1.18,2718,5695.87,32
10452,Concourse/Highbridge,Bronx,141,183.03,77035.04,9,11.68,3.67,3846,4992.53,141
10453,Morris Heights/Mount Hope/University Heights,Bronx,156,192.16,81184.04,2,2.46,4.26,3685,4539.07,157
10454,Mott Haven/Port Morris,Bronx,72,188.37,38223.41,2,5.23,3.71,1941,5078.04,72
10455,Mott Haven,Bronx,105,248.97,42174.38,7,16.6,4.56,2303,5460.66,105
10456,Claremont/Morrisania,Bronx,166,177.65,93441.91,9,9.63,3.41,4837,5176.48,165
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,212,283.86,74685.06,5,6.69,4.88,4343,5815.09,212
10458,Belmont/Fordham University/Kingsbridge,Bronx,162,193.3,83807.74,10,11.93,4.52,3606,4302.71,163
10459,Charlotte Gardens/Hunts Point,Bronx,103,213.01,48354.56,9,18.61,3.91,2636,5451.4,103
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,104,173.12,60073.25,9,14.98,3.76,2763,4599.38,104
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,17,34.36,49479.56,-3,-6.06,0.69,2454,4959.62,17
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,91,117.67,77332.41,10,12.93,2.46,3665,4739.28,90
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,102,143.08,71287.33,12,16.83,2.74,3717,5214.11,102
10464,City Island,Bronx,9,206.75,4353.16,1,22.97,3.83,235,5398.38,9
10465,Country Club/Throgs Neck,Bronx,54,125.49,43030.43,4,9.3,2.74,1972,4582.8,54
10466,Edenwald/Wakefield,Bronx,97,134.41,72166.65,6,8.31,3.37,2875,3983.83,97
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,175,173.64,100784.05,15,14.88,3.47,5066,5026.59,176
10468,Fordham/Kingsbridge/University Heights,Bronx,145,189.09,76681.12,14,18.26,3.74,3880,5059.92,145
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,107,149.63,71508.25,23,32.16,3.07,3488,4877.76,107
10470,Wakefield/Woodlawn,Bronx,17,120.54,14103.75,5,35.45,2.98,571,4048.57,17
10471,Fieldston/North Riverdale/Riverdale,Bronx,27,127.08,21247.28,11,51.77,2.29,1178,5544.24,27
