MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,32,135.81,23563.03,2,8.49,1.69,1898,8054.99,32
10002,Chinatown/Lower East Side,Manhattan,128,166.76,76755.41,8,10.42,3.12,4104,5346.85,128
10003,East Village/Gramercy/Greenwich Village,Manhattan,43,79.92,53801.62,0,0.0,1.37,3129,5815.81,43
10004,Financial District,Manhattan,4,109.57,3650.61,0,0.0,1.83,219,5999.0,4
10005,Financial District,Manhattan,11,131.01,8396.11,0,0.0,2.0,549,6538.74,11
10006,Financial District,Manhattan,8,231.36,3457.77,0,0.0,3.31,242,6998.73,8
10007,TriBeCa,Manhattan,6,72.73,8249.73,0,0.0,1.07,562,6812.34,6
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,60,102.13,58747.99,3,5.11,1.83,3270,5566.15,60
10010,Flatiron/Gramercy/Kips Bay,Manhattan,31,95.76,32371.86,-1,-3.09,1.54,2014,6221.45,31
10011,Chelsea,Manhattan,41,82.83,49500.52,6,12.12,1.26,3256,6577.71,41
10012,Greenwich Village/SoHo,Manhattan,20,83.4,23981.2,0,0.0,1.46,1371,5716.98,20
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,29,99.89,29031.09,0,0.0,1.34,2160,7440.3,29
10014,Hudson Square/Meatpacking District/West Village,Manhattan,35,112.75,31043.16,5,16.11,1.52,2300,7409.04,35
10016,Kips Bay/Murray Hill/NoMad,Manhattan,53,100.91,52524.35,-1,-1.9,1.54,3434,6537.92,53
10017,East Midtown/Murray Hill,Manhattan,12,74.41,16127.22,2,12.4,1.19,1012,6275.11,12
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,32,335.73,9531.44,2,20.98,3.08,1038,10890.27,32
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,35,86.14,40631.45,-1,-2.46,1.16,3017,7425.28,35
10021,Lenox Hill/Upper East Side,Manhattan,31,70.17,44175.61,1,2.26,1.01,3056,6917.84,31
10022,East Midtown,Manhattan,25,82.41,30334.8,2,6.59,1.2,2090,6889.78,25
10023,Lincoln Square,Manhattan,34,56.41,60274.81,2,3.32,0.92,3707,6150.16,34
10024,Upper West Side,Manhattan,52,90.69,57337.68,5,8.72,1.32,3939,6869.83,52
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,74,80.14,92333.47,4,4.33,1.07,6805,7370.03,73
10026,Central Harlem (South),Manhattan,53,135.83,39018.03,6,15.38,2.7,1963,5031.01,53
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,65,102.15,63631.04,8,12.57,1.75,3720,5846.2,65
10028,Upper East Side/Yorkville,Manhattan,28,56.96,49155.08,2,4.07,0.98,2869,5836.63,28
10029,East Harlem,Manhattan,77,97.66,78841.52,10,12.68,1.9,4106,5207.92,78
10030,Central Harlem (North),Manhattan,30,102.31,29321.91,4,13.64,2.33,1286,4385.8,30
10031,Hamilton Heights/West Harlem,Manhattan,78,128.8,60556.93,8,13.21,2.53,3083,5091.08,78
10032,Washington Heights (South),Manhattan,92,149.61,61492.57,9,14.64,2.89,3187,5182.74,92
10033,Washington Heights (North)/Washington Heights (South),Manhattan,69,116.53,59210.43,5,8.44,2.48,2787,4706.94,69
10034,Inwood/Washington Heights (North),Manhattan,54,125.37,43073.65,0,0.0,2.43,2225,5165.57,54
10035,East Harlem,Manhattan,75,217.85,34426.65,10,29.05,4.08,1837,5335.98,75
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,38,144.98,26211.25,3,11.45,2.16,1760,6714.67,38
10037,Central Harlem (North)/East Harlem,Manhattan,2,9.69,20649.62,-5,-24.21,0.2,981,4750.69,2
10038,Chinatown/Financial District,Manhattan,8,36.28,22047.96,-1,-4.54,0.69,1161,5265.79,8
10039,Central Harlem (North)/Washington Heights (South),Manhattan,36,136.07,26457.52,5,18.9,3.3,1090,4119.81,36
10040,Washington Heights (North),Manhattan,58,129.44,44808.28,4,8.93,2.54,2281,5090.58,58
10044,Roosevelt Island,Manhattan,8,68.37,11700.29,2,17.09,1.21,661,5649.43,8
10065,Lenox Hill/Upper East Side,Manhattan,1,3.44,29061.49,1,3.44,0.05,2014,6930.13,1
10069,Lincoln Square,Manhattan,5,78.89,6338.13,0,0.0,1.33,376,5932.35,5
10075,Lenox Hill/Upper East Side,Manhattan,-15,-63.47,23634.14,-3,-12.69,-0.89,1677,7095.67,-15
10128,Upper East Side/Yorkville,Manhattan,40,65.2,61351.93,5,8.15,1.04,3835,6250.82,40
10280,Battery Park City,Manhattan,5,51.98,9618.7,0,0.0,1.28,390,4054.6,5
10282,Battery Park City,Manhattan,8,145.05,5515.44,-1,-18.13,3.08,260,4714.04,8
10301,Silver Lake/St. George,Staten Island,46,116.12,39613.55,6,15.15,2.51,1835,4632.25,46
10302,Elm Park,Staten Island,14,74.57,18773.99,1,5.33,2.14,654,3483.54,14
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,22,83.87,26231.66,1,3.81,2.27,970,3697.82,22
10304,New Dorp/Todt Hill,Staten Island,38,89.52,42448.71,10,23.56,1.91,1992,4692.72,38
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,46,108.08,42560.99,4,9.4,2.73,1686,3961.37,46
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,50,93.13,53685.66,4,7.45,2.18,2293,4271.16,50
10307,Tottenville,Staten Island,24,157.74,15214.56,1,6.57,4.01,599,3937.02,24
10308,Great Kills,Staten Island,35,118.1,29635.33,2,6.75,3.23,1083,3654.42,35
10309,Charleston/Prince's Bay/Woodrow,Staten Island,36,109.07,33004.98,1,3.03,2.75,1311,3972.13,36
