MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,20,84.88,23563.03,0,0.0,1.06,1895,8042.26,20
10002,Chinatown/Lower East Side,Manhattan,45,58.63,76755.41,0,0.0,1.07,4218,5495.38,45
10003,East Village/Gramercy/Greenwich Village,Manhattan,48,89.22,53801.62,0,0.0,1.04,4526,8412.39,47
10004,Financial District,Manhattan,4,109.57,3650.61,0,0.0,1.67,239,6546.85,4
10005,Financial District,Manhattan,15,178.65,8396.11,0,0.0,2.56,586,6979.42,15
10006,Financial District,Manhattan,7,202.44,3457.77,0,0.0,3.41,205,5928.68,7
10007,TriBeCa,Manhattan,4,48.49,8249.73,0,0.0,0.59,681,8254.82,4
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,45,76.6,58747.99,1,1.7,1.11,3978,6771.3,44
10010,Flatiron/Gramercy/Kips Bay,Manhattan,27,83.41,32371.86,0,0.0,1.19,2264,6993.73,27
10011,Chelsea,Manhattan,33,66.67,49500.52,-1,-2.02,0.92,3595,7262.55,33
10012,Greenwich Village/SoHo,Manhattan,23,95.91,23981.2,0,0.0,1.17,1961,8177.24,23
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,14,48.22,29031.09,1,3.44,0.53,2662,9169.48,14
10014,Hudson Square/Meatpacking District/West Village,Manhattan,25,80.53,31043.16,0,0.0,1.1,2279,7341.39,25
10016,Kips Bay/Murray Hill/NoMad,Manhattan,43,81.87,52524.35,-1,-1.9,1.22,3598,6850.16,44
10017,East Midtown/Murray Hill,Manhattan,5,31.0,16127.22,0,0.0,0.51,978,6064.28,5
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-6,-62.95,9531.44,1,10.49,-0.91,659,6913.96,-6
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,37,91.06,40631.45,0,0.0,1.15,3125,7691.09,36
10021,Lenox Hill/Upper East Side,Manhattan,44,99.6,44175.61,0,0.0,1.47,2993,6775.23,44
10022,East Midtown,Manhattan,22,72.52,30334.8,0,0.0,1.03,2146,7074.38,22
10023,Lincoln Square,Manhattan,31,51.43,60274.81,-1,-1.66,0.78,3991,6621.34,31
10024,Upper West Side,Manhattan,42,73.25,57337.68,0,0.0,0.95,4399,7672.09,42
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,69,74.73,92333.47,1,1.08,0.8,8582,9294.57,69
10026,Central Harlem (South),Manhattan,35,89.7,39018.03,1,2.56,1.5,2340,5997.23,35
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,54,84.86,63631.04,0,0.0,1.02,5210,8187.83,53
10028,Upper East Side/Yorkville,Manhattan,27,54.93,49155.08,0,0.0,0.94,2859,5816.29,27
10029,East Harlem,Manhattan,64,81.18,78841.52,-1,-1.27,1.62,3893,4937.75,63
10030,Central Harlem (North),Manhattan,20,68.21,29321.91,0,0.0,1.38,1452,4951.93,20
10031,Hamilton Heights/West Harlem,Manhattan,64,105.69,60556.93,0,0.0,2.35,2764,4564.3,65
10032,Washington Heights (South),Manhattan,56,91.07,61492.57,1,1.63,1.74,3279,5332.35,57
10033,Washington Heights (North)/Washington Heights (South),Manhattan,60,101.33,59210.43,1,1.69,2.03,2962,5002.5,60
10034,Inwood/Washington Heights (North),Manhattan,32,74.29,43073.65,0,0.0,1.64,1946,4517.84,32
10035,East Harlem,Manhattan,17,49.38,34426.65,2,5.81,0.8,2118,6152.21,17
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,25,95.38,26211.25,0,0.0,1.24,2020,7706.61,25
10037,Central Harlem (North)/East Harlem,Manhattan,19,92.01,20649.62,2,9.69,1.89,1006,4871.76,19
10038,Chinatown/Financial District,Manhattan,26,117.92,22047.96,0,0.0,1.65,1578,7157.12,26
10039,Central Harlem (North)/Washington Heights (South),Manhattan,7,26.46,26457.52,0,0.0,0.6,1159,4380.61,7
10040,Washington Heights (North),Manhattan,55,122.75,44808.28,1,2.23,2.35,2339,5220.02,55
10044,Roosevelt Island,Manhattan,4,34.19,11700.29,0,0.0,0.65,611,5222.09,4
10065,Lenox Hill/Upper East Side,Manhattan,26,89.47,29061.49,0,0.0,1.23,2122,7301.76,26
10069,Lincoln Square,Manhattan,5,78.89,6338.13,0,0.0,0.83,599,9450.74,5
10075,Lenox Hill/Upper East Side,Manhattan,20,84.62,23634.14,0,0.0,1.13,1768,7480.7,20
10128,Upper East Side/Yorkville,Manhattan,31,50.53,61351.93,0,0.0,0.79,3938,6418.71,31
10280,Battery Park City,Manhattan,1,10.4,9618.7,0,0.0,0.19,514,5343.76,1
10282,Battery Park City,Manhattan,0,0.0,5515.44,-1,-18.13,0.0,327,5928.81,0
10301,Silver Lake/St. George,Staten Island,50,126.22,39613.55,0,0.0,2.62,1912,4826.63,50
10302,Elm Park,Staten Island,18,95.88,18773.99,0,0.0,2.05,879,4682.01,18
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,16,60.99,26231.66,0,0.0,1.55,1035,3945.61,16
10304,New Dorp/Todt Hill,Staten Island,51,120.14,42448.71,-1,-2.36,2.93,1739,4096.71,51
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,43,101.03,42560.99,1,2.35,2.45,1756,4125.84,43
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,69,128.53,53685.66,1,1.86,2.61,2645,4926.83,69
10307,Tottenville,Staten Island,14,92.02,15214.56,0,0.0,2.25,621,4081.62,14
10308,Great Kills,Staten Island,36,121.48,29635.33,0,0.0,3.03,1188,4008.73,36
10309,Charleston/Prince's Bay/Woodrow,Staten Island,46,139.37,33004.98,0,0.0,3.19,1444,4375.1,46
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,47,196.89,23870.96,1,4.19,4.06,1159,4855.27,47
10312,Annadale/Rossville,Staten Island,80,132.66,60304.33,0,0.0,2.91,2713,4498.85,79
10314,Bloomfield/Freshkills Park,Staten Island,118,129.91,90834.29,1,1.1,2.82,4186,4608.39,118
10451,Concourse/Melrose,Bronx,48,100.59,47718.77,1,2.1,2.14,2248,4710.93,48
10452,Concourse/Highbridge,Bronx,124,160.97,77035.04,3,3.89,3.59,3450,4478.48,124
10453,Morris Heights/Mount Hope/University Heights,Bronx,98,120.71,81184.04,2,2.46,2.75,3527,4344.45,97
10454,Mott Haven/Port Morris,Bronx,26,68.02,38223.41,0,0.0,1.58,1642,4295.8,26
10455,Mott Haven,Bronx,37,87.73,42174.38,1,2.37,2.15,1723,4085.42,37
10456,Claremont/Morrisania,Bronx,88,94.18,93441.91,9,9.63,2.09,4166,4458.38,87
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,71,95.07,74685.06,2,2.68,2.19,3198,4281.98,70
10458,Belmont/Fordham University/Kingsbridge,Bronx,79,94.26,83807.74,1,1.19,2.05,3861,4606.97,79
10459,Charlotte Gardens/Hunts Point,Bronx,67,138.56,48354.56,0,0.0,2.66,2519,5209.44,67
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,48,79.9,60073.25,3,4.99,1.82,2534,4218.18,46
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,62,125.3,49479.56,-1,-2.02,2.53,2448,4947.5,62
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,80,103.45,77332.41,2,2.59,2.25,3551,4591.87,80
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,75,105.21,71287.33,1,1.4,1.85,4006,5619.51,74
10464,City Island,Bronx,2,45.94,4353.16,0,0.0,1.02,197,4525.45,2
10465,Country Club/Throgs Neck,Bronx,41,95.28,43030.43,3,6.97,1.91,2142,4977.87,41
10466,Edenwald/Wakefield,Bronx,50,69.28,72166.65,3,4.16,1.66,2956,4096.07,49
