MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,16,67.9,23563.03,1,4.24,0.91,1761,7473.57,16
10002,Chinatown/Lower East Side,Manhattan,53,69.05,76755.41,0,0.0,1.34,4028,5247.84,54
10003,East Village/Gramercy/Greenwich Village,Manhattan,58,107.8,53801.62,-1,-1.86,1.65,3572,6639.21,59
10004,Financial District,Manhattan,8,219.14,3650.61,0,0.0,3.02,265,7259.06,8
10005,Financial District,Manhattan,13,154.83,8396.11,0,0.0,2.3,566,6741.22,13
10006,Financial District,Manhattan,6,173.52,3457.77,0,0.0,2.84,211,6102.2,6
10007,TriBeCa,Manhattan,6,72.73,8249.73,0,0.0,0.97,619,7503.28,6
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,55,93.62,58747.99,0,0.0,1.56,3518,5988.29,55
10010,Flatiron/Gramercy/Kips Bay,Manhattan,29,89.58,32371.86,0,0.0,1.31,2221,6860.9,29
10011,Chelsea,Manhattan,30,60.61,49500.52,-1,-2.02,0.9,3336,6739.32,30
10012,Greenwich Village/SoHo,Manhattan,27,112.59,23981.2,0,0.0,1.78,1513,6309.11,27
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,21,72.34,29031.09,1,3.44,0.88,2376,8184.33,21
10014,Hudson Square/Meatpacking District/West Village,Manhattan,27,86.98,31043.16,0,0.0,1.23,2187,7045.03,27
10016,Kips Bay/Murray Hill/NoMad,Manhattan,53,100.91,52524.35,-1,-1.9,1.53,3403,6478.9,52
10017,East Midtown/Murray Hill,Manhattan,10,62.01,16127.22,0,0.0,0.98,1017,6306.11,10
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-5,-52.46,9531.44,1,10.49,-0.76,655,6871.99,-5
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,37,91.06,40631.45,0,0.0,1.24,2988,7353.91,37
10021,Lenox Hill/Upper East Side,Manhattan,48,108.66,44175.61,0,0.0,1.72,2848,6447.0,49
10022,East Midtown,Manhattan,28,92.3,30334.8,1,3.3,1.36,2066,6810.66,28
10023,Lincoln Square,Manhattan,47,77.98,60274.81,0,0.0,1.29,3639,6037.35,47
10024,Upper West Side,Manhattan,52,90.69,57337.68,0,0.0,1.21,4132,7206.43,50
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,74,80.14,92333.47,2,2.17,1.05,7257,7859.56,76
10026,Central Harlem (South),Manhattan,41,105.08,39018.03,1,2.56,1.96,2089,5353.94,41
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,56,88.01,63631.04,0,0.0,1.43,3992,6273.67,57
10028,Upper East Side/Yorkville,Manhattan,38,77.31,49155.08,0,0.0,1.34,2758,5610.81,37
10029,East Harlem,Manhattan,57,72.3,78841.52,-1,-1.27,1.59,3596,4561.05,57
10030,Central Harlem (North),Manhattan,22,75.03,29321.91,1,3.41,1.46,1510,5149.73,22
10031,Hamilton Heights/West Harlem,Manhattan,63,104.03,60556.93,2,3.3,2.31,2680,4425.59,62
10032,Washington Heights (South),Manhattan,62,100.83,61492.57,0,0.0,2.15,2890,4699.75,62
