MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,19,80.63,23563.03,1,4.24,1.04,1820,7723.96,19
10002,Chinatown/Lower East Side,Manhattan,52,67.75,76755.41,0,0.0,1.22,4279,5574.85,52
10003,East Village/Gramercy/Greenwich Village,Manhattan,53,98.51,53801.62,0,0.0,1.22,4345,8075.96,53
10004,Financial District,Manhattan,7,191.75,3650.61,0,0.0,2.68,261,7149.49,7
10005,Financial District,Manhattan,14,166.74,8396.11,0,0.0,2.52,555,6610.2,14
10006,Financial District,Manhattan,6,173.52,3457.77,0,0.0,2.8,214,6188.96,6
10007,TriBeCa,Manhattan,6,72.73,8249.73,0,0.0,0.96,622,7539.64,6
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,50,85.11,58747.99,1,1.7,1.29,3808,6481.92,49
10010,Flatiron/Gramercy/Kips Bay,Manhattan,27,83.41,32371.86,0,0.0,1.09,2391,7386.04,26
10011,Chelsea,Manhattan,29,58.59,49500.52,-1,-2.02,0.84,3451,6971.64,29
10012,Greenwich Village/SoHo,Manhattan,23,95.91,23981.2,0,0.0,1.32,1744,7272.36,23
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,16,55.11,29031.09,1,3.44,0.64,2486,8563.23,16
10014,Hudson Square/Meatpacking District/West Village,Manhattan,22,70.87,31043.16,0,0.0,0.99,2228,7177.1,22
10016,Kips Bay/Murray Hill/NoMad,Manhattan,45,85.67,52524.35,-1,-1.9,1.31,3503,6669.29,46
10017,East Midtown/Murray Hill,Manhattan,9,55.81,16127.22,0,0.0,0.86,1045,6479.73,9
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-5,-52.46,9531.44,1,10.49,-0.76,655,6871.99,-5
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,38,93.52,40631.45,0,0.0,1.25,3048,7501.58,38
10021,Lenox Hill/Upper East Side,Manhattan,48,108.66,44175.61,0,0.0,1.69,2832,6410.78,48
10022,East Midtown,Manhattan,21,69.23,30334.8,0,0.0,1.0,2108,6949.11,21
10023,Lincoln Square,Manhattan,41,68.02,60274.81,0,0.0,1.08,3691,6123.62,40
10024,Upper West Side,Manhattan,61,106.39,57337.68,0,0.0,1.46,4049,7061.67,59
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,68,73.65,92333.47,2,2.17,0.86,7638,8272.19,66
10026,Central Harlem (South),Manhattan,35,89.7,39018.03,1,2.56,1.63,2141,5487.21,35
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,54,84.86,63631.04,0,0.0,1.2,4428,6958.87,53
10028,Upper East Side/Yorkville,Manhattan,28,56.96,49155.08,1,2.03,1.03,2728,5549.78,28
10029,East Harlem,Manhattan,57,72.3,78841.52,-1,-1.27,1.56,3648,4627.0,57
10030,Central Harlem (North),Manhattan,24,81.85,29321.91,1,3.41,1.65,1453,4955.34,24
10031,Hamilton Heights/West Harlem,Manhattan,49,80.92,60556.93,1,1.65,1.92,2610,4309.99,50
10032,Washington Heights (South),Manhattan,50,81.31,61492.57,1,1.63,1.71,2860,4650.97,49
10033,Washington Heights (North)/Washington Heights (South),Manhattan,60,101.33,59210.43,1,1.69,2.13,2818,4759.3,60
10034,Inwood/Washington Heights (North),Manhattan,33,76.61,43073.65,0,0.0,1.82,1811,4204.43,33
10035,East Harlem,Manhattan,19,55.19,34426.65,2,5.81,0.93,2046,5943.07,19
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,30,114.45,26211.25,0,0.0,1.52,1970,7515.86,30
10037,Central Harlem (North)/East Harlem,Manhattan,19,92.01,20649.62,1,4.84,1.96,967,4682.89,19
10038,Chinatown/Financial District,Manhattan,26,117.92,22047.96,0,0.0,1.64,1586,7193.41,26
10039,Central Harlem (North)/Washington Heights (South),Manhattan,12,45.36,26457.52,0,0.0,1.07,1124,4248.32,12
10040,Washington Heights (North),Manhattan,53,118.28,44808.28,1,2.23,2.43,2182,4869.64,53
10044,Roosevelt Island,Manhattan,5,42.73,11700.29,0,0.0,0.94,533,4555.44,5
10065,Lenox Hill/Upper East Side,Manhattan,33,113.55,29061.49,0,0.0,1.57,2103,7236.38,33
10069,Lincoln Square,Manhattan,3,47.33,6338.13,0,0.0,0.57,525,8283.2,3
10075,Lenox Hill/Upper East Side,Manhattan,26,110.01,23634.14,0,0.0,1.64,1582,6693.71,26
10128,Upper East Side/Yorkville,Manhattan,29,47.27,61351.93,0,0.0,0.73,3839,6257.34,28
10280,Battery Park City,Manhattan,2,20.79,9618.7,0,0.0,0.37,543,5645.25,2
10282,Battery Park City,Manhattan,2,36.26,5515.44,-1,-18.13,0.65,307,5566.19,2
10301,Silver Lake/St. George,Staten Island,53,133.79,39613.55,0,0.0,2.89,1835,4632.25,53
10302,Elm Park,Staten Island,20,106.53,18773.99,0,0.0,2.23,898,4783.21,20
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,14,53.37,26231.66,0,0.0,1.34,1044,3979.92,14
10304,New Dorp/Todt Hill,Staten Island,54,127.21,42448.71,-1,-2.36,2.8,1926,4537.24,54
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,57,133.93,42560.99,1,2.35,3.14,1813,4259.77,57
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,91,169.51,53685.66,0,0.0,3.41,2668,4969.67,91
10307,Tottenville,Staten Island,18,118.31,15214.56,0,0.0,2.94,612,4022.46,18
10308,Great Kills,Staten Island,43,145.1,29635.33,0,0.0,3.68,1168,3941.24,43
10309,Charleston/Prince's Bay/Woodrow,Staten Island,56,169.67,33004.98,0,0.0,3.9,1435,4347.83,56
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,51,213.65,23870.96,1,4.19,4.33,1178,4934.87,51
10312,Annadale/Rossville,Staten Island,86,142.61,60304.33,0,0.0,3.17,2717,4505.48,86
10314,Bloomfield/Freshkills Park,Staten Island,126,138.71,90834.29,2,2.2,3.06,4156,4575.36,127
10451,Concourse/Melrose,Bronx,53,111.07,47718.77,1,2.1,2.37,2239,4692.07,53
10452,Concourse/Highbridge,Bronx,127,164.86,77035.04,1,1.3,3.81,3359,4360.35,128
10453,Morris Heights/Mount Hope/University Heights,Bronx,86,105.93,81184.04,1,1.23,2.47,3482,4289.02,86
10454,Mott Haven/Port Morris,Bronx,23,60.17,38223.41,0,0.0,1.42,1619,4235.62,23
10455,Mott Haven,Bronx,40,94.84,42174.38,0,0.0,2.36,1692,4011.91,40
10456,Claremont/Morrisania,Bronx,86,92.04,93441.91,6,6.42,2.03,4136,4426.28,84
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,61,81.68,74685.06,2,2.68,1.97,3101,4152.1,61
10458,Belmont/Fordham University/Kingsbridge,Bronx,83,99.04,83807.74,3,3.58,2.08,3891,4642.77,81
10459,Charlotte Gardens/Hunts Point,Bronx,66,136.49,48354.56,0,0.0,2.75,2403,4969.54,66
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,51,84.9,60073.25,3,4.99,2.04,2456,4088.34,50
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,56,113.18,49479.56,0,0.0,2.36,2369,4787.84,56
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,89,115.09,77332.41,2,2.59,2.57,3421,4423.76,88
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,87,122.04,71287.33,2,2.81,2.22,3870,5428.73,86
10464,City Island,Bronx,2,45.94,4353.16,0,0.0,1.03,195,4479.5,2
10465,Country Club/Throgs Neck,Bronx,44,102.25,43030.43,2,4.65,2.28,1976,4592.1,45
10466,Edenwald/Wakefield,Bronx,52,72.06,72166.65,3,4.16,1.93,2701,3742.73,52
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,101,100.21,100784.05,6,5.95,2.09,4824,4786.47,101
10468,Fordham/Kingsbridge/University Heights,Bronx,111,144.76,76681.12,1,1.3,3.34,3295,4297.02,110
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,45,62.93,71508.25,4,5.59,1.48,3043,4255.45,45
10470,Wakefield/Woodlawn,Bronx,11,77.99,14103.75,1,7.09,1.58,695,4927.77,11
10471,Fieldston/North Riverdale/Riverdale,Bronx,22,103.54,21247.28,2,9.41,1.65,1330,6259.62,22
10472,Soundview,Bronx,66,97.18,67913.94,2,2.94,2.13,3102,4567.55,66
10473,Castle Hill/Clason Point/Soundview,Bronx,54,87.2,61925.28,1,1.61,2.02,2673,4316.49,54
10474,Hunts Point,Bronx,-10,-80.4,12438.07,0,0.0,-2.17,460,3698.32,-10
10475,Co-op City/Edenwald,Bronx,52,118.88,43743.21,2,4.57,2.56,1990,4549.28,51
11004,Bellerose/Douglaston-Little Neck,Queens,24,127.94,18758.55,1,5.33,2.51,957,5101.67,24
11101,Astoria (South)/Long Island City/Sunnyside,Queens,37,105.1,35204.11,0,0.0,1.38,2610,7413.91,36
11102,Astoria (North),Queens,40,122.58,32632.92,0,0.0,2.36,1698,5203.33,40
11103,Astoria (North)/Astoria (South),Queens,51,139.4,36585.65,1,2.73,2.62,1910,5220.63,50
11104,Sunnyside,Queens,16,64.58,24775.7,0,0.0,1.24,1294,5222.86,16
11105,Ditmars Steinway,Queens,38,105.86,35894.88,1,2.79,2.36,1612,4490.89,38
11106,Astoria (South),Queens,37,95.7,38664.4,0,0.0,1.91,1936,5007.19,37
11109,Long Island City,Queens,3,59.16,5070.64,0,0.0,0.83,361,7119.42,3
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,14,22.99,60908.15,0,0.0,0.31,4185,6871.0,13
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,56,76.3,73392.42,1,1.36,1.88,2924,3984.06,55
11204,Bensonhurst/Mapleton,Brooklyn,198,249.61,79322.45,2,2.52,7.19,2740,3454.26,197
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,51,115.87,44013.21,1,2.27,2.4,2122,4821.28,51
11206,Williamsburg (South),Brooklyn,97,113.45,85496.61,1,1.17,2.55,3804,4449.3,97
11207,Cypress Hills/East New York,Brooklyn,80,89.73,89156.75,4,4.49,2.24,3656,4100.64,82
11208,Cypress Hills/East New York,Brooklyn,95,99.36,95607.69,-1,-1.05,2.9,3278,3428.59,95
11209,Bay Ridge/Fort Hamilton,Brooklyn,70,104.35,67081.12,1,1.49,1.98,3477,5183.28,69
11210,Flatlands/Midwood,Brooklyn,192,286.19,67089.29,0,0.0,7.55,2542,3788.98,192
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,179,179.73,99594.67,0,0.0,3.16,5625,5647.89,178
11212,Ocean Hill-Brownsville,Brooklyn,49,61.57,79589.99,1,1.26,1.64,2983,3747.96,49
11213,Crown Heights (East),Brooklyn,103,159.87,64425.94,1,1.55,3.36,3097,4807.07,104
11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,83,88.93,93333.46,4,4.29,2.34,3552,3805.71,83
11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,23,32.89,69932.3,0,0.0,0.53,4370,6248.9,23
11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,43,77.42,55537.72,0,0.0,1.55,2777,5000.21,43
