MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,4,16.98,23563.03,1,4.24,0.9,445,1888.55,4
10002,Chinatown/Lower East Side,Manhattan,11,14.33,76755.41,2,2.61,1.22,904,1177.77,11
10003,East Village/Gramercy/Greenwich Village,Manhattan,7,13.01,53801.62,-1,-1.86,0.96,726,1349.4,7
10004,Financial District,Manhattan,0,0.0,3650.61,0,0.0,0.0,45,1232.67,0
10005,Financial District,Manhattan,1,11.91,8396.11,0,0.0,0.79,127,1512.61,1
10006,Financial District,Manhattan,1,28.92,3457.77,0,0.0,2.22,45,1301.42,1
10007,TriBeCa,Manhattan,1,12.12,8249.73,0,0.0,0.81,124,1503.08,1
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,15,25.53,58747.99,1,1.7,1.83,819,1394.09,15
10010,Flatiron/Gramercy/Kips Bay,Manhattan,4,12.36,32371.86,0,0.0,0.89,448,1383.92,4
10011,Chelsea,Manhattan,6,12.12,49500.52,0,0.0,0.81,738,1490.89,6
10012,Greenwich Village/SoHo,Manhattan,3,12.51,23981.2,0,0.0,1.01,298,1242.64,3
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,8,27.56,29031.09,0,0.0,1.67,480,1653.4,8
10014,Hudson Square/Meatpacking District/West Village,Manhattan,7,22.55,31043.16,0,0.0,1.26,555,1787.83,7
10016,Kips Bay/Murray Hill/NoMad,Manhattan,18,34.27,52524.35,1,1.9,2.25,800,1523.1,18
10017,East Midtown/Murray Hill,Manhattan,2,12.4,16127.22,0,0.0,1.07,187,1159.53,2
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,6,62.95,9531.44,0,0.0,1.78,337,3535.67,6
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,11,27.07,40631.45,2,4.92,1.59,691,1700.65,11
10021,Lenox Hill/Upper East Side,Manhattan,7,15.85,44175.61,1,2.26,1.22,575,1301.62,7
10022,East Midtown,Manhattan,5,16.48,30334.8,2,6.59,1.01,494,1628.49,5
10023,Lincoln Square,Manhattan,4,6.64,60274.81,0,0.0,0.46,866,1436.75,4
10024,Upper West Side,Manhattan,12,20.93,57337.68,0,0.0,1.13,1058,1845.21,12
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,36,38.99,92333.47,2,2.17,1.89,1903,2061.01,36
10026,Central Harlem (South),Manhattan,8,20.5,39018.03,0,0.0,1.85,432,1107.18,8
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,19,29.86,63631.04,0,0.0,2.01,947,1488.27,19
10028,Upper East Side/Yorkville,Manhattan,4,8.14,49155.08,0,0.0,0.67,593,1206.39,4
10029,East Harlem,Manhattan,20,25.37,78841.52,1,1.27,2.27,881,1117.43,20
10030,Central Harlem (North),Manhattan,6,20.46,29321.91,0,0.0,2.03,295,1006.07,6
10031,Hamilton Heights/West Harlem,Manhattan,20,33.03,60556.93,1,1.65,2.31,867,1431.71,20
10032,Washington Heights (South),Manhattan,25,40.66,61492.57,1,1.63,2.99,835,1357.89,25
10033,Washington Heights (North)/Washington Heights (South),Manhattan,16,27.02,59210.43,0,0.0,2.19,732,1236.27,16
10034,Inwood/Washington Heights (North),Manhattan,14,32.5,43073.65,0,0.0,2.94,476,1105.08,14
10035,East Harlem,Manhattan,11,31.95,34426.65,4,11.62,2.63,419,1217.08,11
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,12,45.78,26211.25,1,3.82,2.85,421,1606.18,12
10037,Central Harlem (North)/East Harlem,Manhattan,7,33.9,20649.62,3,14.53,3.08,227,1099.29,7
10038,Chinatown/Financial District,Manhattan,4,18.14,22047.96,-1,-4.54,1.57,254,1152.03,4
10039,Central Harlem (North)/Washington Heights (South),Manhattan,6,22.68,26457.52,0,0.0,2.44,246,929.79,6
10040,Washington Heights (North),Manhattan,10,22.32,44808.28,-2,-4.46,1.99,503,1122.56,10
10044,Roosevelt Island,Manhattan,1,8.55,11700.29,1,8.55,0.74,136,1162.36,1
10065,Lenox Hill/Upper East Side,Manhattan,3,10.32,29061.49,0,0.0,0.77,390,1341.98,3
10069,Lincoln Square,Manhattan,3,47.33,6338.13,0,0.0,3.41,88,1388.42,3
10075,Lenox Hill/Upper East Side,Manhattan,5,21.16,23634.14,1,4.23,1.37,364,1540.14,5
10128,Upper East Side/Yorkville,Manhattan,8,13.04,61351.93,1,1.63,0.95,845,1377.3,8
10280,Battery Park City,Manhattan,3,31.19,9618.7,0,0.0,2.94,102,1060.43,3
10282,Battery Park City,Manhattan,1,18.13,5515.44,-1,-18.13,1.69,59,1069.72,1
10301,Silver Lake/St. George,Staten Island,13,32.82,39613.55,1,2.52,3.02,430,1085.49,13
10302,Elm Park,Staten Island,2,10.65,18773.99,0,0.0,1.32,151,804.3,2
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,17,64.81,26231.66,0,0.0,4.5,378,1441.01,17
10304,New Dorp/Todt Hill,Staten Island,9,21.2,42448.71,1,2.36,2.16,416,980.01,9
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,16,37.59,42560.99,3,7.05,3.72,430,1010.31,16
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,8,14.9,53685.66,0,0.0,1.57,508,946.25,8
10307,Tottenville,Staten Island,0,0.0,15214.56,0,0.0,0.0,116,762.43,0
10308,Great Kills,Staten Island,4,13.5,29635.33,1,3.37,1.72,232,782.85,4
10309,Charleston/Prince's Bay/Woodrow,Staten Island,1,3.03,33004.98,0,0.0,0.38,266,805.94,1
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,5,20.95,23870.96,-1,-4.19,2.01,249,1043.11,5
10312,Annadale/Rossville,Staten Island,3,4.97,60304.33,0,0.0,0.6,501,830.79,3
10314,Bloomfield/Freshkills Park,Staten Island,28,30.83,90834.29,3,3.3,3.06,916,1008.43,28
10451,Concourse/Melrose,Bronx,13,27.24,47718.77,1,2.1,2.32,560,1173.54,13
10452,Concourse/Highbridge,Bronx,35,45.43,77035.04,3,3.89,3.83,913,1185.17,35
10453,Morris Heights/Mount Hope/University Heights,Bronx,29,35.72,81184.04,-1,-1.23,3.55,818,1007.59,29
10454,Mott Haven/Port Morris,Bronx,9,23.55,38223.41,-1,-2.62,1.92,468,1224.38,9
10455,Mott Haven,Bronx,17,40.31,42174.38,0,0.0,3.5,486,1152.36,17
10456,Claremont/Morrisania,Bronx,34,36.39,93441.91,3,3.21,3.32,1024,1095.87,34
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,29,38.83,74685.06,5,6.69,3.56,815,1091.25,29
10458,Belmont/Fordham University/Kingsbridge,Bronx,18,21.48,83807.74,2,2.39,2.26,796,949.79,18
10459,Charlotte Gardens/Hunts Point,Bronx,13,26.88,48354.56,2,4.14,2.32,560,1158.11,13
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,25,41.62,60073.25,2,3.33,3.84,651,1083.68,25
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,12,24.25,49479.56,1,2.02,2.22,540,1091.36,12
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,17,21.98,77332.41,3,3.88,1.91,891,1152.17,17
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,16,22.44,71287.33,1,1.4,1.72,932,1307.39,16
10464,City Island,Bronx,2,45.94,4353.16,0,0.0,3.85,52,1194.53,2
10465,Country Club/Throgs Neck,Bronx,11,25.56,43030.43,2,4.65,2.64,416,966.76,11
10466,Edenwald/Wakefield,Bronx,20,27.71,72166.65,0,0.0,2.97,674,933.95,20
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,44,43.66,100784.05,-1,-0.99,3.91,1150,1141.05,45
10468,Fordham/Kingsbridge/University Heights,Bronx,34,44.34,76681.12,4,5.22,3.66,930,1212.81,34
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,32,44.75,71508.25,3,4.2,3.6,888,1241.81,32
10470,Wakefield/Woodlawn,Bronx,4,28.36,14103.75,0,0.0,2.7,148,1049.37,4
10471,Fieldston/North Riverdale/Riverdale,Bronx,6,28.24,21247.28,2,9.41,2.32,259,1218.98,6
10472,Soundview,Bronx,27,39.76,67913.94,2,2.94,3.68,734,1080.78,27
10473,Castle Hill/Clason Point/Soundview,Bronx,21,33.91,61925.28,4,6.46,3.13,670,1081.95,21
10474,Hunts Point,Bronx,4,32.16,12438.07,0,0.0,3.31,121,972.82,4
10475,Co-op City/Edenwald,Bronx,13,29.72,43743.21,2,4.57,2.88,451,1031.02,13
11004,Bellerose/Douglaston-Little Neck,Queens,14,74.63,18758.55,2,10.66,5.76,243,1295.41,14
11101,Astoria (South)/Long Island City/Sunnyside,Queens,9,25.57,35204.11,0,0.0,1.45,619,1758.32,9
11102,Astoria (North),Queens,11,33.71,32632.92,0,0.0,2.56,429,1314.62,11
11103,Astoria (North)/Astoria (South),Queens,6,16.4,36585.65,2,5.47,1.25,481,1314.72,6
11104,Sunnyside,Queens,7,28.25,24775.7,0,0.0,1.63,429,1731.54,7
11105,Ditmars Steinway,Queens,3,8.36,35894.88,0,0.0,0.63,480,1337.24,3
11106,Astoria (South),Queens,8,20.69,38664.4,2,5.17,1.6,499,1290.59,8
11109,Long Island City,Queens,1,19.72,5070.64,0,0.0,1.33,75,1479.1,1
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,14,22.99,60908.15,1,1.64,1.33,1053,1728.83,14
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,24,32.7,73392.42,4,5.45,3.71,647,881.56,24
11204,Bensonhurst/Mapleton,Brooklyn,10,12.61,79322.45,1,1.26,1.49,670,844.65,10
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,11,24.99,44013.21,0,0.0,1.52,723,1642.69,11
