MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,3,12.73,23563.03,1,4.24,0.56,534,2266.26,3
10002,Chinatown/Lower East Side,Manhattan,13,16.94,76755.41,0,0.0,1.36,955,1244.21,13
10003,East Village/Gramercy/Greenwich Village,Manhattan,10,18.59,53801.62,0,0.0,1.32,756,1405.16,10
10004,Financial District,Manhattan,3,82.18,3650.61,0,0.0,4.55,66,1807.92,3
10005,Financial District,Manhattan,3,35.73,8396.11,0,0.0,2.1,143,1703.17,3
10006,Financial District,Manhattan,1,28.92,3457.77,0,0.0,1.54,65,1879.82,1
10007,TriBeCa,Manhattan,3,36.36,8249.73,0,0.0,2.38,126,1527.32,3
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,12,20.43,58747.99,0,0.0,1.32,906,1542.18,12
10010,Flatiron/Gramercy/Kips Bay,Manhattan,4,12.36,32371.86,0,0.0,0.94,425,1312.87,4
10011,Chelsea,Manhattan,15,30.3,49500.52,0,0.0,1.79,840,1696.95,15
10012,Greenwich Village/SoHo,Manhattan,3,12.51,23981.2,0,0.0,0.85,354,1476.16,3
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,7,24.11,29031.09,0,0.0,1.27,552,1901.41,7
10014,Hudson Square/Meatpacking District/West Village,Manhattan,4,12.89,31043.16,0,0.0,0.73,548,1765.28,4
10016,Kips Bay/Murray Hill/NoMad,Manhattan,13,24.75,52524.35,0,0.0,1.57,828,1576.41,13
10017,East Midtown/Murray Hill,Manhattan,1,6.2,16127.22,0,0.0,0.49,206,1277.34,1
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,2,20.98,9531.44,0,0.0,0.66,304,3189.44,2
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,10,24.61,40631.45,1,2.46,1.41,710,1747.41,10
10021,Lenox Hill/Upper East Side,Manhattan,5,11.32,44175.61,-1,-2.26,0.66,757,1713.62,5
10022,East Midtown,Manhattan,7,23.08,30334.8,1,3.3,1.4,500,1648.27,7
10023,Lincoln Square,Manhattan,8,13.27,60274.81,0,0.0,0.97,828,1373.71,8
10024,Upper West Side,Manhattan,11,19.18,57337.68,1,1.74,1.39,793,1383.03,11
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,15,16.25,92333.47,2,2.17,1.14,1313,1422.02,15
10026,Central Harlem (South),Manhattan,11,28.19,39018.03,0,0.0,2.38,462,1184.07,11
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,10,15.72,63631.04,0,0.0,1.31,762,1197.53,10
10028,Upper East Side/Yorkville,Manhattan,12,24.41,49155.08,1,2.03,1.9,632,1285.73,12
10029,East Harlem,Manhattan,10,12.68,78841.52,1,1.27,0.87,1149,1457.35,10
10030,Central Harlem (North),Manhattan,6,20.46,29321.91,-1,-3.41,1.67,360,1227.75,6
10031,Hamilton Heights/West Harlem,Manhattan,11,18.16,60556.93,0,0.0,1.61,682,1126.21,11
10032,Washington Heights (South),Manhattan,11,17.89,61492.57,0,0.0,1.36,806,1310.73,11
10033,Washington Heights (North)/Washington Heights (South),Manhattan,12,20.27,59210.43,0,0.0,1.98,607,1025.16,12
10034,Inwood/Washington Heights (North),Manhattan,17,39.47,43073.65,1,2.32,3.17,537,1246.7,17
10035,East Harlem,Manhattan,17,49.38,34426.65,0,0.0,2.97,572,1661.5,17
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,12,45.78,26211.25,1,3.82,2.35,510,1945.73,12
10037,Central Harlem (North)/East Harlem,Manhattan,7,33.9,20649.62,-1,-4.84,2.6,269,1302.69,7
10038,Chinatown/Financial District,Manhattan,5,22.68,22047.96,0,0.0,1.72,290,1315.31,5
10039,Central Harlem (North)/Washington Heights (South),Manhattan,8,30.24,26457.52,0,0.0,2.33,343,1296.42,8
10040,Washington Heights (North),Manhattan,19,42.4,44808.28,0,0.0,3.02,630,1405.99,19
10044,Roosevelt Island,Manhattan,4,34.19,11700.29,0,0.0,3.67,109,931.6,4
10065,Lenox Hill/Upper East Side,Manhattan,4,13.76,29061.49,0,0.0,0.84,476,1637.91,4
10069,Lincoln Square,Manhattan,2,31.56,6338.13,0,0.0,2.44,82,1293.76,2
10075,Lenox Hill/Upper East Side,Manhattan,-1,-4.23,23634.14,0,0.0,-0.27,375,1586.69,-1
10128,Upper East Side/Yorkville,Manhattan,7,11.41,61351.93,0,0.0,0.79,885,1442.5,7
10280,Battery Park City,Manhattan,0,0.0,9618.7,0,0.0,0.0,99,1029.25,0
10282,Battery Park City,Manhattan,1,18.13,5515.44,0,0.0,1.61,62,1124.12,1
10301,Silver Lake/St. George,Staten Island,7,17.67,39613.55,0,0.0,1.62,431,1088.01,7
10302,Elm Park,Staten Island,7,37.29,18773.99,0,0.0,4.0,175,932.14,7
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,4,15.25,26231.66,1,3.81,1.56,256,975.92,4
10304,New Dorp/Todt Hill,Staten Island,18,42.4,42448.71,0,0.0,4.55,396,932.89,18
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,12,28.19,42560.99,0,0.0,2.68,448,1052.61,12
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,14,26.08,53685.66,0,0.0,2.42,579,1078.5,14
10307,Tottenville,Staten Island,0,0.0,15214.56,0,0.0,0.0,135,887.31,0
10308,Great Kills,Staten Island,13,43.87,29635.33,0,0.0,4.42,294,992.06,13
10309,Charleston/Prince's Bay/Woodrow,Staten Island,13,39.39,33004.98,0,0.0,3.43,379,1148.31,13
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,7,29.32,23870.96,0,0.0,3.24,216,904.87,7
10312,Annadale/Rossville,Staten Island,29,48.09,60304.33,0,0.0,4.18,694,1150.83,29
