MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,12,50.93,23563.03,0,0.0,2.15,557,2363.87,12
10002,Chinatown/Lower East Side,Manhattan,9,11.73,76755.41,0,0.0,0.63,1425,1856.55,9
10003,East Village/Gramercy/Greenwich Village,Manhattan,13,24.16,53801.62,1,1.86,0.72,1809,3362.35,13
10004,Financial District,Manhattan,2,54.79,3650.61,0,0.0,2.82,71,1944.88,2
10005,Financial District,Manhattan,4,47.64,8396.11,0,0.0,2.61,153,1822.27,4
10006,Financial District,Manhattan,4,115.68,3457.77,0,0.0,5.48,73,2111.19,4
10007,TriBeCa,Manhattan,0,0.0,8249.73,0,0.0,0.0,226,2739.48,0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,10,17.02,58747.99,1,1.7,0.77,1175,2000.07,9
10010,Flatiron/Gramercy/Kips Bay,Manhattan,7,21.62,32371.86,0,0.0,0.9,781,2412.59,7
10011,Chelsea,Manhattan,5,10.1,49500.52,0,0.0,0.47,1062,2145.43,5
10012,Greenwich Village/SoHo,Manhattan,6,25.02,23981.2,0,0.0,0.86,696,2902.27,6
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,2,6.89,29031.09,0,0.0,0.26,782,2693.66,2
10014,Hudson Square/Meatpacking District/West Village,Manhattan,2,6.44,31043.16,1,3.22,0.31,643,2071.31,2
10016,Kips Bay/Murray Hill/NoMad,Manhattan,9,17.13,52524.35,0,0.0,0.97,1031,1962.9,10
10017,East Midtown/Murray Hill,Manhattan,4,24.8,16127.22,0,0.0,1.36,294,1823.0,4
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-2,-20.98,9531.44,0,0.0,-1.2,167,1752.1,-2
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,8,19.69,40631.45,0,0.0,0.95,949,2335.63,9
10021,Lenox Hill/Upper East Side,Manhattan,10,22.64,44175.61,0,0.0,1.34,746,1688.71,10
10022,East Midtown,Manhattan,8,26.37,30334.8,0,0.0,1.38,581,1915.29,8
10023,Lincoln Square,Manhattan,7,11.61,60274.81,0,0.0,0.56,1064,1765.25,6
10024,Upper West Side,Manhattan,11,19.18,57337.68,0,0.0,1.07,1122,1956.83,12
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,21,22.74,92333.47,0,0.0,0.8,2622,2839.71,21
10026,Central Harlem (South),Manhattan,9,23.07,39018.03,0,0.0,1.3,692,1773.54,9
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,13,20.43,63631.04,0,0.0,0.84,1664,2615.08,14
10028,Upper East Side/Yorkville,Manhattan,6,12.21,49155.08,0,0.0,0.83,720,1464.75,6
10029,East Harlem,Manhattan,14,17.76,78841.52,0,0.0,1.17,1114,1412.96,13
10030,Central Harlem (North),Manhattan,8,27.28,29321.91,0,0.0,1.94,412,1405.09,8
10031,Hamilton Heights/West Harlem,Manhattan,13,21.47,60556.93,0,0.0,1.78,729,1203.83,13
