MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,9,38.2,23563.03,1,4.24,2.08,432,1833.38,9
10002,Chinatown/Lower East Side,Manhattan,30,39.09,76755.41,1,1.3,3.06,914,1190.8,28
10003,East Village/Gramercy/Greenwich Village,Manhattan,5,9.29,53801.62,0,0.0,0.59,850,1579.88,5
10004,Financial District,Manhattan,0,0.0,3650.61,0,0.0,0.0,55,1506.6,0
10005,Financial District,Manhattan,5,59.55,8396.11,0,0.0,3.13,160,1905.64,5
10006,Financial District,Manhattan,1,28.92,3457.77,0,0.0,1.64,61,1764.14,1
10007,TriBeCa,Manhattan,0,0.0,8249.73,0,0.0,0.0,136,1648.54,0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,13,22.13,58747.99,0,0.0,1.22,984,1674.95,12
10010,Flatiron/Gramercy/Kips Bay,Manhattan,9,27.8,32371.86,0,0.0,1.74,516,1593.98,9
10011,Chelsea,Manhattan,9,18.18,49500.52,0,0.0,1.1,815,1646.45,9
10012,Greenwich Village/SoHo,Manhattan,7,29.19,23981.2,0,0.0,1.68,417,1738.86,7
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,9,31.0,29031.09,0,0.0,1.66,543,1870.41,9
10014,Hudson Square/Meatpacking District/West Village,Manhattan,7,22.55,31043.16,0,0.0,1.32,532,1713.74,7
10016,Kips Bay/Murray Hill/NoMad,Manhattan,9,17.13,52524.35,1,1.9,0.92,977,1860.09,9
10017,East Midtown/Murray Hill,Manhattan,3,18.6,16127.22,0,0.0,1.44,208,1289.74,3
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,13,136.39,9531.44,0,0.0,5.56,234,2455.03,13
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,10,24.61,40631.45,0,0.0,1.4,645,1587.44,9
10021,Lenox Hill/Upper East Side,Manhattan,6,13.58,44175.61,0,0.0,0.87,805,1822.27,7
10022,East Midtown,Manhattan,4,13.19,30334.8,0,0.0,0.84,479,1579.04,4
10023,Lincoln Square,Manhattan,17,28.2,60274.81,0,0.0,1.86,967,1604.32,18
10024,Upper West Side,Manhattan,6,10.46,57337.68,0,0.0,0.67,893,1557.44,6
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,15,16.25,92333.47,1,1.08,0.89,1468,1589.89,13
10026,Central Harlem (South),Manhattan,7,17.94,39018.03,0,0.0,1.4,499,1278.9,7
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,19,29.86,63631.04,0,0.0,2.13,846,1329.54,18
10028,Upper East Side/Yorkville,Manhattan,6,12.21,49155.08,0,0.0,0.87,693,1409.82,6
10029,East Harlem,Manhattan,28,35.51,78841.52,0,0.0,2.2,1319,1672.98,29
10030,Central Harlem (North),Manhattan,5,17.05,29321.91,1,3.41,1.35,371,1265.27,5
10031,Hamilton Heights/West Harlem,Manhattan,33,54.49,60556.93,0,0.0,4.0,824,1360.7,33
10032,Washington Heights (South),Manhattan,23,37.4,61492.57,0,0.0,2.78,827,1344.88,23
10033,Washington Heights (North)/Washington Heights (South),Manhattan,18,30.4,59210.43,0,0.0,2.29,786,1327.47,18
10034,Inwood/Washington Heights (North),Manhattan,18,41.79,43073.65,0,0.0,3.42,526,1221.16,18
10035,East Harlem,Manhattan,13,37.76,34426.65,0,0.0,2.55,510,1481.41,13
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,2,7.63,26211.25,0,0.0,0.46,432,1648.15,2
10037,Central Harlem (North)/East Harlem,Manhattan,4,19.37,20649.62,0,0.0,1.29,311,1506.08,4
10038,Chinatown/Financial District,Manhattan,7,31.75,22047.96,0,0.0,2.28,307,1392.42,7
10039,Central Harlem (North)/Washington Heights (South),Manhattan,11,41.58,26457.52,0,0.0,2.51,438,1655.48,11
10040,Washington Heights (North),Manhattan,20,44.63,44808.28,1,2.23,3.33,600,1339.04,20
10044,Roosevelt Island,Manhattan,1,8.55,11700.29,0,0.0,0.84,119,1017.07,1
10065,Lenox Hill/Upper East Side,Manhattan,8,27.53,29061.49,0,0.0,1.77,453,1558.76,8
10069,Lincoln Square,Manhattan,2,31.56,6338.13,0,0.0,2.41,83,1309.53,2
10075,Lenox Hill/Upper East Side,Manhattan,2,8.46,23634.14,0,0.0,0.46,438,1853.25,2
10128,Upper East Side/Yorkville,Manhattan,3,4.89,61351.93,0,0.0,0.42,942,1535.4,4
10280,Battery Park City,Manhattan,0,0.0,9618.7,0,0.0,0.0,88,914.88,0
10282,Battery Park City,Manhattan,4,72.52,5515.44,0,0.0,6.15,65,1178.51,4
10301,Silver Lake/St. George,Staten Island,13,32.82,39613.55,0,0.0,3.13,416,1050.15,13
10302,Elm Park,Staten Island,6,31.96,18773.99,0,0.0,3.31,181,964.1,6
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,6,22.87,26231.66,0,0.0,2.29,262,998.79,6
10304,New Dorp/Todt Hill,Staten Island,20,47.12,42448.71,0,0.0,4.22,474,1116.64,20
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,11,25.85,42560.99,0,0.0,2.87,383,899.89,11
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,16,29.8,53685.66,0,0.0,2.68,598,1113.89,16
10307,Tottenville,Staten Island,3,19.72,15214.56,0,0.0,2.29,131,861.02,3
10308,Great Kills,Staten Island,7,23.62,29635.33,0,0.0,2.86,245,826.72,7
10309,Charleston/Prince's Bay/Woodrow,Staten Island,3,9.09,33004.98,0,0.0,0.97,309,936.22,3
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,6,25.14,23870.96,0,0.0,2.27,264,1105.95,6
10312,Annadale/Rossville,Staten Island,11,18.24,60304.33,0,0.0,1.68,595,986.66,10
10314,Bloomfield/Freshkills Park,Staten Island,27,29.72,90834.29,0,0.0,2.65,982,1081.09,26
10451,Concourse/Melrose,Bronx,28,58.68,47718.77,0,0.0,3.93,713,1494.17,28
10452,Concourse/Highbridge,Bronx,35,45.43,77035.04,2,2.6,2.92,1233,1600.57,36
10453,Morris Heights/Mount Hope/University Heights,Bronx,28,34.49,81184.04,0,0.0,2.95,983,1210.83,29
10454,Mott Haven/Port Morris,Bronx,12,31.39,38223.41,0,0.0,2.56,469,1227.0,12
10455,Mott Haven,Bronx,16,37.94,42174.38,0,0.0,2.61,612,1451.12,16
10456,Claremont/Morrisania,Bronx,33,35.32,93441.91,1,1.07,2.56,1251,1338.8,32
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,23,30.8,74685.06,0,0.0,2.15,1025,1372.43,22
10458,Belmont/Fordham University/Kingsbridge,Bronx,35,41.76,83807.74,0,0.0,3.39,1033,1232.58,35
10459,Charlotte Gardens/Hunts Point,Bronx,15,31.02,48354.56,0,0.0,2.09,718,1484.87,15
