MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,1,4.24,23563.03,0,0.0,0.23,426,1807.92,1
10002,Chinatown/Lower East Side,Manhattan,19,24.75,76755.41,0,0.0,1.79,1118,1456.57,20
10003,East Village/Gramercy/Greenwich Village,Manhattan,18,33.46,53801.62,0,0.0,2.26,795,1477.65,18
10004,Financial District,Manhattan,3,82.18,3650.61,0,0.0,4.11,73,1999.67,3
10005,Financial District,Manhattan,1,11.91,8396.11,0,0.0,0.78,129,1536.43,1
10006,Financial District,Manhattan,1,28.92,3457.77,0,0.0,2.04,49,1417.1,1
10007,TriBeCa,Manhattan,0,0.0,8249.73,0,0.0,0.0,138,1672.78,0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,11,18.72,58747.99,0,0.0,1.23,816,1388.98,10
10010,Flatiron/Gramercy/Kips Bay,Manhattan,10,30.89,32371.86,0,0.0,1.65,606,1872.0,10
10011,Chelsea,Manhattan,9,18.18,49500.52,0,0.0,1.2,832,1680.79,10
10012,Greenwich Village/SoHo,Manhattan,9,37.53,23981.2,0,0.0,2.54,354,1476.16,9
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,7,24.11,29031.09,0,0.0,1.49,469,1615.51,7
10014,Hudson Square/Meatpacking District/West Village,Manhattan,6,19.33,31043.16,0,0.0,1.22,490,1578.45,6
10016,Kips Bay/Murray Hill/NoMad,Manhattan,18,34.27,52524.35,0,0.0,2.18,824,1568.8,18
10017,East Midtown/Murray Hill,Manhattan,5,31.0,16127.22,0,0.0,2.06,243,1506.77,5
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,5,52.46,9531.44,0,0.0,3.4,147,1542.26,5
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,7,17.23,40631.45,0,0.0,0.87,688,1693.27,6
10021,Lenox Hill/Upper East Side,Manhattan,11,24.9,44175.61,0,0.0,1.44,694,1571.0,10
10022,East Midtown,Manhattan,9,29.67,30334.8,1,3.3,1.76,510,1681.24,9
10023,Lincoln Square,Manhattan,15,24.89,60274.81,0,0.0,1.92,783,1299.05,15
10024,Upper West Side,Manhattan,16,27.9,57337.68,0,0.0,1.33,1053,1836.49,14
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,26,28.16,92333.47,1,1.08,1.79,1455,1575.81,26
10026,Central Harlem (South),Manhattan,12,30.76,39018.03,0,0.0,2.2,501,1284.02,11
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,14,22.0,63631.04,1,1.57,2.03,738,1159.81,15
10028,Upper East Side/Yorkville,Manhattan,15,30.52,49155.08,0,0.0,1.96,713,1450.51,14
10029,East Harlem,Manhattan,15,19.03,78841.52,0,0.0,1.86,807,1023.57,15
10030,Central Harlem (North),Manhattan,10,34.1,29321.91,1,3.41,2.8,357,1217.52,10
10031,Hamilton Heights/West Harlem,Manhattan,17,28.07,60556.93,1,1.65,2.43,617,1018.88,15
10032,Washington Heights (South),Manhattan,29,47.16,61492.57,-1,-1.63,4.62,649,1055.41,30
10033,Washington Heights (North)/Washington Heights (South),Manhattan,22,37.16,59210.43,0,0.0,3.3,698,1178.85,23
10034,Inwood/Washington Heights (North),Manhattan,2,4.64,43073.65,0,0.0,0.56,358,831.13,2
10035,East Harlem,Manhattan,9,26.14,34426.65,0,0.0,2.39,376,1092.18,9
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,5,19.08,26211.25,0,0.0,0.97,411,1568.03,4
10037,Central Harlem (North)/East Harlem,Manhattan,7,33.9,20649.62,0,0.0,3.38,207,1002.44,7
10038,Chinatown/Financial District,Manhattan,12,54.43,22047.96,0,0.0,3.54,339,1537.56,12
10039,Central Harlem (North)/Washington Heights (South),Manhattan,9,34.02,26457.52,0,0.0,3.73,241,910.89,9
10040,Washington Heights (North),Manhattan,22,49.1,44808.28,0,0.0,4.46,471,1051.15,21
10044,Roosevelt Island,Manhattan,2,17.09,11700.29,0,0.0,1.46,137,1170.91,2
10065,Lenox Hill/Upper East Side,Manhattan,9,30.97,29061.49,0,0.0,1.84,488,1679.2,9
10069,Lincoln Square,Manhattan,2,31.56,6338.13,0,0.0,1.57,127,2003.75,2
10075,Lenox Hill/Upper East Side,Manhattan,5,21.16,23634.14,0,0.0,1.35,370,1565.53,5
10128,Upper East Side/Yorkville,Manhattan,6,9.78,61351.93,0,0.0,0.66,908,1479.99,6
10280,Battery Park City,Manhattan,1,10.4,9618.7,0,0.0,0.87,115,1195.59,1
10282,Battery Park City,Manhattan,1,18.13,5515.44,0,0.0,1.04,96,1740.57,1
10301,Silver Lake/St. George,Staten Island,27,68.16,39613.55,0,0.0,6.6,409,1032.47,27
10302,Elm Park,Staten Island,4,21.31,18773.99,0,0.0,2.17,184,980.08,4
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,4,15.25,26231.66,0,0.0,1.59,252,960.67,4
10304,New Dorp/Todt Hill,Staten Island,18,42.4,42448.71,0,0.0,4.02,448,1055.39,18
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,13,30.54,42560.99,0,0.0,2.97,438,1029.11,13
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,28,52.16,53685.66,0,0.0,4.53,640,1192.12,29
10307,Tottenville,Staten Island,11,72.3,15214.56,0,0.0,7.59,145,953.03,11
