MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,8,33.95,23563.03,1,4.24,1.72,464,1969.19,8
10002,Chinatown/Lower East Side,Manhattan,40,52.11,76755.41,4,5.21,3.55,1127,1468.3,40
10003,East Village/Gramercy/Greenwich Village,Manhattan,14,26.02,53801.62,1,1.86,1.71,820,1524.12,14
10004,Financial District,Manhattan,1,27.39,3650.61,0,0.0,2.0,50,1369.63,1
10005,Financial District,Manhattan,4,47.64,8396.11,0,0.0,3.05,131,1560.25,4
10006,Financial District,Manhattan,1,28.92,3457.77,0,0.0,1.33,75,2169.03,1
10007,TriBeCa,Manhattan,1,12.12,8249.73,0,0.0,0.71,141,1709.15,1
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,15,25.53,58747.99,2,3.4,1.85,812,1382.17,15
10010,Flatiron/Gramercy/Kips Bay,Manhattan,6,18.53,32371.86,-1,-3.09,1.33,450,1390.1,6
10011,Chelsea,Manhattan,8,16.16,49500.52,4,8.08,0.88,904,1826.24,8
10012,Greenwich Village/SoHo,Manhattan,7,29.19,23981.2,0,0.0,1.86,377,1572.06,7
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,9,31.0,29031.09,0,0.0,1.47,613,2111.53,9
10014,Hudson Square/Meatpacking District/West Village,Manhattan,12,38.66,31043.16,3,9.66,1.86,644,2074.53,12
10016,Kips Bay/Murray Hill/NoMad,Manhattan,8,15.23,52524.35,0,0.0,0.97,821,1563.08,8
10017,East Midtown/Murray Hill,Manhattan,2,12.4,16127.22,2,12.4,0.64,313,1940.82,2
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,8,83.93,9531.44,2,20.98,2.27,352,3693.04,8
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,9,22.15,40631.45,-3,-7.38,1.09,827,2035.37,9
10021,Lenox Hill/Upper East Side,Manhattan,0,0.0,44175.61,0,0.0,0.0,692,1566.48,0
10022,East Midtown,Manhattan,11,36.26,30334.8,1,3.3,1.94,567,1869.14,11
10023,Lincoln Square,Manhattan,5,8.3,60274.81,1,1.66,0.54,924,1532.98,5
10024,Upper West Side,Manhattan,17,29.65,57337.68,4,6.98,1.76,966,1684.76,17
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,13,14.08,92333.47,-1,-1.08,0.78,1806,1955.95,14
10026,Central Harlem (South),Manhattan,22,56.38,39018.03,5,12.81,4.19,525,1345.53,22
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,18,28.29,63631.04,5,7.86,1.82,989,1554.27,18
10028,Upper East Side/Yorkville,Manhattan,10,20.34,49155.08,1,2.03,1.41,711,1446.44,10
10029,East Harlem,Manhattan,27,34.25,78841.52,5,6.34,2.52,1070,1357.15,27
10030,Central Harlem (North),Manhattan,8,27.28,29321.91,2,6.82,2.41,332,1132.26,8
