MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,6,25.46,23563.03,0,0.0,1.35,445,1888.55,6
10002,Chinatown/Lower East Side,Manhattan,48,62.54,76755.41,2,2.61,4.3,1116,1453.97,48
10003,East Village/Gramercy/Greenwich Village,Manhattan,5,9.29,53801.62,0,0.0,0.63,794,1475.79,5
10004,Financial District,Manhattan,1,27.39,3650.61,0,0.0,1.85,54,1479.2,1
10005,Financial District,Manhattan,3,35.73,8396.11,0,0.0,2.26,133,1584.07,3
10006,Financial District,Manhattan,2,57.84,3457.77,0,0.0,3.45,58,1677.38,2
10007,TriBeCa,Manhattan,1,12.12,8249.73,0,0.0,0.8,125,1515.2,1
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,14,23.83,58747.99,0,0.0,1.68,833,1417.92,14
10010,Flatiron/Gramercy/Kips Bay,Manhattan,11,33.98,32371.86,0,0.0,1.92,572,1766.97,11
10011,Chelsea,Manhattan,13,26.26,49500.52,2,4.04,1.68,774,1563.62,13
10012,Greenwich Village/SoHo,Manhattan,5,20.85,23981.2,0,0.0,1.51,332,1384.42,5
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,6,20.67,29031.09,0,0.0,1.11,542,1866.96,6
10014,Hudson Square/Meatpacking District/West Village,Manhattan,9,28.99,31043.16,0,0.0,1.69,534,1720.19,9
10016,Kips Bay/Murray Hill/NoMad,Manhattan,19,36.17,52524.35,0,0.0,2.02,942,1793.45,19
10017,East Midtown/Murray Hill,Manhattan,3,18.6,16127.22,0,0.0,1.19,252,1562.58,3
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,7,73.44,9531.44,0,0.0,3.89,180,1888.49,7
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,4,9.84,40631.45,0,0.0,0.51,790,1944.31,4
10021,Lenox Hill/Upper East Side,Manhattan,10,22.64,44175.61,0,0.0,1.09,919,2080.33,10
10022,East Midtown,Manhattan,1,3.3,30334.8,0,0.0,0.19,521,1717.5,1
10023,Lincoln Square,Manhattan,8,13.27,60274.81,0,0.0,0.8,1001,1660.73,8
10024,Upper West Side,Manhattan,13,22.67,57337.68,0,0.0,1.29,1007,1756.26,13
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,19,20.58,92333.47,0,0.0,1.04,1642,1778.34,17
10026,Central Harlem (South),Manhattan,8,20.5,39018.03,0,0.0,1.55,517,1325.03,8
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,14,22.0,63631.04,1,1.57,1.64,853,1340.54,14
10028,Upper East Side/Yorkville,Manhattan,10,20.34,49155.08,1,2.03,1.33,752,1529.85,10
10029,East Harlem,Manhattan,17,21.56,78841.52,2,2.54,1.34,1272,1613.36,17
10030,Central Harlem (North),Manhattan,11,37.51,29321.91,2,6.82,3.17,347,1183.42,11
10031,Hamilton Heights/West Harlem,Manhattan,13,21.47,60556.93,2,3.3,1.68,772,1274.83,13
10032,Washington Heights (South),Manhattan,24,39.03,61492.57,1,1.63,3.08,778,1265.19,24
10033,Washington Heights (North)/Washington Heights (South),Manhattan,18,30.4,59210.43,1,1.69,2.42,745,1258.22,18
10034,Inwood/Washington Heights (North),Manhattan,10,23.22,43073.65,0,0.0,1.92,520,1207.23,10
10035,East Harlem,Manhattan,16,46.48,34426.65,4,11.62,3.13,511,1484.32,16
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,13,49.6,26211.25,0,0.0,2.86,454,1732.08,13
10037,Central Harlem (North)/East Harlem,Manhattan,5,24.21,20649.62,0,0.0,1.87,267,1293.0,5
10038,Chinatown/Financial District,Manhattan,1,4.54,22047.96,0,0.0,0.35,284,1288.1,1
10039,Central Harlem (North)/Washington Heights (South),Manhattan,13,49.14,26457.52,1,3.78,3.58,363,1372.01,13
10040,Washington Heights (North),Manhattan,15,33.48,44808.28,0,0.0,2.78,540,1205.13,15
10044,Roosevelt Island,Manhattan,2,17.09,11700.29,0,0.0,1.79,112,957.24,2
10065,Lenox Hill/Upper East Side,Manhattan,-1,-3.44,29061.49,0,0.0,-0.21,482,1658.55,-1
10069,Lincoln Square,Manhattan,0,0.0,6338.13,0,0.0,0.0,85,1341.09,0
10075,Lenox Hill/Upper East Side,Manhattan,-4,-16.92,23634.14,0,0.0,-0.85,472,1997.11,-4
10128,Upper East Side/Yorkville,Manhattan,10,16.3,61351.93,0,0.0,1.0,998,1626.68,10
10280,Battery Park City,Manhattan,0,0.0,9618.7,0,0.0,0.0,114,1185.19,0
10282,Battery Park City,Manhattan,1,18.13,5515.44,0,0.0,2.08,48,870.28,1
10301,Silver Lake/St. George,Staten Island,11,27.77,39613.55,1,2.52,2.36,467,1178.89,11
10302,Elm Park,Staten Island,2,10.65,18773.99,0,0.0,1.05,191,1017.36,2
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,6,22.87,26231.66,0,0.0,2.42,248,945.42,6
10304,New Dorp/Todt Hill,Staten Island,5,11.78,42448.71,2,4.71,0.96,521,1227.36,5
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,14,32.89,42560.99,0,0.0,3.15,444,1043.21,14
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,14,26.08,53685.66,1,1.86,2.27,617,1149.28,14
10307,Tottenville,Staten Island,7,46.01,15214.56,0,0.0,4.38,160,1051.62,7
10308,Great Kills,Staten Island,11,37.12,29635.33,0,0.0,3.53,312,1052.8,11
10309,Charleston/Prince's Bay/Woodrow,Staten Island,9,27.27,33004.98,0,0.0,2.28,395,1196.79,9
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,6,25.14,23870.96,0,0.0,2.21,272,1139.46,6
10312,Annadale/Rossville,Staten Island,27,44.77,60304.33,0,0.0,3.94,685,1135.91,27
10314,Bloomfield/Freshkills Park,Staten Island,18,19.82,90834.29,3,3.3,1.86,1078,1186.78,20
10451,Concourse/Melrose,Bronx,10,20.96,47718.77,0,0.0,1.32,756,1584.28,10
10452,Concourse/Highbridge,Bronx,32,41.54,77035.04,1,1.3,3.3,969,1257.87,32
10453,Morris Heights/Mount Hope/University Heights,Bronx,27,33.26,81184.04,1,1.23,2.75,982,1209.6,27
10454,Mott Haven/Port Morris,Bronx,12,31.39,38223.41,0,0.0,2.53,475,1242.69,12
