MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,2,8.49,23563.03,0,0.0,0.37,534,2266.26,2
10002,Chinatown/Lower East Side,Manhattan,27,35.18,76755.41,1,1.3,2.13,1313,1710.63,28
10003,East Village/Gramercy/Greenwich Village,Manhattan,7,13.01,53801.62,0,0.0,0.68,1027,1908.86,7
10004,Financial District,Manhattan,0,0.0,3650.61,0,0.0,0.0,77,2109.24,0
10005,Financial District,Manhattan,2,23.82,8396.11,0,0.0,1.09,184,2191.49,2
10006,Financial District,Manhattan,1,28.92,3457.77,0,0.0,1.33,75,2169.03,1
10007,TriBeCa,Manhattan,1,12.12,8249.73,0,0.0,0.53,190,2303.11,1
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,7,11.92,58747.99,0,0.0,0.58,1209,2057.94,7
10010,Flatiron/Gramercy/Kips Bay,Manhattan,9,27.8,32371.86,0,0.0,1.48,609,1881.26,9
10011,Chelsea,Manhattan,10,20.2,49500.52,0,0.0,1.08,925,1868.67,10
10012,Greenwich Village/SoHo,Manhattan,11,45.87,23981.2,0,0.0,2.19,502,2093.31,11
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,7,24.11,29031.09,0,0.0,1.07,654,2252.76,7
10014,Hudson Square/Meatpacking District/West Village,Manhattan,4,12.89,31043.16,0,0.0,0.59,676,2177.61,4
10016,Kips Bay/Murray Hill/NoMad,Manhattan,10,19.04,52524.35,1,1.9,0.87,1156,2200.88,10
10017,East Midtown/Murray Hill,Manhattan,2,12.4,16127.22,0,0.0,0.73,273,1692.79,2
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,8,83.93,9531.44,0,0.0,1.99,402,4217.62,8
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,8,19.69,40631.45,0,0.0,0.85,936,2303.63,8
10021,Lenox Hill/Upper East Side,Manhattan,6,13.58,44175.61,1,2.26,0.67,889,2012.42,6
10022,East Midtown,Manhattan,2,6.59,30334.8,0,0.0,0.37,542,1786.73,2
10023,Lincoln Square,Manhattan,11,18.25,60274.81,0,0.0,1.12,1158,1921.2,13
10024,Upper West Side,Manhattan,9,15.7,57337.68,0,0.0,0.82,1102,1921.95,9
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,18,19.49,92333.47,0,0.0,1.06,1692,1832.49,18
10026,Central Harlem (South),Manhattan,12,30.76,39018.03,0,0.0,1.82,661,1694.09,12
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,7,11.0,63631.04,0,0.0,0.68,1175,1846.58,8
10028,Upper East Side/Yorkville,Manhattan,5,10.17,49155.08,1,2.03,0.62,812,1651.91,5
10029,East Harlem,Manhattan,30,38.05,78841.52,0,0.0,1.76,1766,2239.94,31
10030,Central Harlem (North),Manhattan,4,13.64,29321.91,0,0.0,0.81,495,1688.16,4
10031,Hamilton Heights/West Harlem,Manhattan,35,57.8,60556.93,1,1.65,3.03,1155,1907.3,35
10032,Washington Heights (South),Manhattan,32,52.04,61492.57,1,1.63,2.64,1210,1967.72,32
10033,Washington Heights (North)/Washington Heights (South),Manhattan,24,40.53,59210.43,0,0.0,2.02,1188,2006.4,24
10034,Inwood/Washington Heights (North),Manhattan,14,32.5,43073.65,0,0.0,2.05,682,1583.33,14
10035,East Harlem,Manhattan,9,26.14,34426.65,0,0.0,1.32,684,1986.83,9
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,2,7.63,26211.25,0,0.0,0.36,562,2144.12,2
10037,Central Harlem (North)/East Harlem,Manhattan,4,19.37,20649.62,0,0.0,1.2,333,1612.62,4
10038,Chinatown/Financial District,Manhattan,5,22.68,22047.96,0,0.0,1.31,382,1732.59,5
10039,Central Harlem (North)/Washington Heights (South),Manhattan,13,49.14,26457.52,0,0.0,2.35,553,2090.14,13
10040,Washington Heights (North),Manhattan,16,35.71,44808.28,1,2.23,2.05,780,1740.75,16
10044,Roosevelt Island,Manhattan,0,0.0,11700.29,0,0.0,0.0,178,1521.33,0
10065,Lenox Hill/Upper East Side,Manhattan,1,3.44,29061.49,0,0.0,0.18,565,1944.15,1
10069,Lincoln Square,Manhattan,2,31.56,6338.13,0,0.0,1.65,121,1909.08,2
10075,Lenox Hill/Upper East Side,Manhattan,2,8.46,23634.14,0,0.0,0.42,479,2026.73,2
10128,Upper East Side/Yorkville,Manhattan,7,11.41,61351.93,0,0.0,0.6,1171,1908.66,7
10280,Battery Park City,Manhattan,2,20.79,9618.7,0,0.0,1.89,106,1102.02,2
10282,Battery Park City,Manhattan,0,0.0,5515.44,0,0.0,0.0,88,1595.52,0
10301,Silver Lake/St. George,Staten Island,12,30.29,39613.55,0,0.0,2.2,546,1378.32,12
10302,Elm Park,Staten Island,2,10.65,18773.99,0,0.0,0.85,236,1257.06,2
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,5,19.06,26231.66,0,0.0,1.3,386,1471.5,5
10304,New Dorp/Todt Hill,Staten Island,22,51.83,42448.71,0,0.0,3.61,609,1434.67,22
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,17,39.94,42560.99,0,0.0,3.6,472,1109.0,17
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,14,26.08,53685.66,0,0.0,2.24,625,1164.18,14
